applicant_id,credit_score,annual_income,loan_amount,employment_years,debt_to_income,loan_purpose,Default
A00077,812,41504.0,9119.0,16,0.357,Auto,No
A00078,527,43592.0,20693.0,18,0.559,Education,No
A00079,640,65521.0,32677.0,19,0.731,Home improvement,Yes
A00080,563,30075.0,5108.0,22,0.36,Home improvement,Yes
A00081,546,48850.0,18418.0,8,0.647,Personal,No
A00082,698,79418.0,13422.0,12,0.421,Home improvement,No
A00083,664,105053.0,34130.0,3,0.552,Auto,No
A00084,633,34278.0,17550.0,0,0.525,Personal,No
A00085,673,32180.0,4084.0,3,0.424,Auto,No
A00086,590,44813.0,6629.0,3,0.218,Personal,Yes
A00087,537,36178.0,5324.0,23,0.238,Auto,No
A00088,578,68351.0,21440.0,14,0.368,Education,No
A00089,627,33654.0,17638.0,12,0.721,Education,No
A00090,581,83726.0,35102.0,3,0.532,Auto,Yes
A00091,699,49868.0,29356.0,17,0.688,Auto,No
A00092,500,75747.0,22300.0,14,0.567,Auto,No
A00093,654,29494.0,14911.0,20,0.54,Home improvement,No
A00094,719,65113.0,7998.0,15,0.222,Auto,No
A00095,601,47775.0,19172.0,23,0.564,Home improvement,No
A00096,793,67429.0,36531.0,16,0.837,Education,No
A00097,759,41945.0,5010.0,21,0.411,Personal,Yes
A00098,735,47253.0,21836.0,3,0.556,Personal,No
A00099,673,24189.0,6291.0,14,0.489,Home improvement,No
A00100,823,55890.0,29822.0,19,0.76,Auto,No
A00101,667,93985.0,52638.0,18,0.736,Auto,Yes
A00102,798,79363.0,19636.0,12,0.269,Education,Yes
A00103,736,38550.0,7649.0,22,0.232,Auto,No
A00104,629,60089.0,13568.0,11,0.262,Personal,No
A00105,518,111033.0,32831.0,14,0.492,Education,Yes
A00106,807,32987.0,14143.0,3,0.613,Personal,No
A00107,536,81149.0,46034.0,14,0.619,Home improvement,Yes
A00108,617,82593.0,8683.0,6,0.329,Education,No
A00109,643,32595.0,4046.0,1,0.414,Personal,No
A00110,634,25812.0,11312.0,5,0.59,Education,No
A00111,830,31865.0,8411.0,22,0.417,Auto,No
A00112,766,44450.0,22693.0,20,0.724,Personal,No
A00113,751,50575.0,13713.0,23,0.533,Personal,Yes
A00114,659,39658.0,17829.0,22,0.67,Home improvement,No
A00115,732,49599.0,17791.0,14,0.366,Personal,No
A00116,695,66001.0,32959.0,14,0.626,Auto,Yes
A00117,516,104553.0,49200.0,15,0.617,Personal,Yes
A00118,738,74664.0,15111.0,1,0.395,Personal,No
A00119,601,29989.0,4690.0,16,0.372,Education,No
A00120,539,35603.0,6379.0,16,0.26,Personal,No
A00121,610,59637.0,23181.0,10,0.463,Home improvement,No
A00122,601,55206.0,24983.0,1,0.553,Home improvement,No
A00123,665,37599.0,15389.0,0,0.498,Auto,No
A00124,568,186402.0,96842.0,2,0.604,Education,No
A00125,737,34486.0,8856.0,16,0.332,Auto,No
A00126,632,28172.0,7395.0,18,0.446,Home improvement,No
A00127,476,40924.0,16859.0,11,0.658,Home improvement,No
A00128,543,98158.0,27696.0,1,0.329,Auto,No
A00129,690,38333.0,15844.0,7,0.65,Auto,No
A00130,545,86763.0,27939.0,1,0.608,Education,Yes
A00131,570,49438.0,26938.0,13,0.657,Home improvement,No
A00132,631,74105.0,40583.0,0,0.68,Auto,No
A00133,480,40295.0,15788.0,7,0.619,Home improvement,Yes
A00134,616,75284.0,40113.0,7,0.724,Auto,Yes
A00135,707,22090.0,13051.0,16,0.616,Auto,No
A00136,742,62541.0,31743.0,6,0.791,Auto,No
A00137,771,68211.0,32450.0,12,0.774,Personal,Yes
A00138,565,55594.0,29294.0,5,0.636,Auto,Yes
A00139,695,72226.0,13928.0,8,0.469,Home improvement,No
A00140,658,25423.0,9206.0,9,0.484,Education,No
A00141,685,62902.0,22205.0,18,0.478,Personal,No
A00142,700,31535.0,13459.0,4,0.727,Education,Yes
A00143,587,81611.0,44458.0,1,0.784,Personal,No
A00144,521,32694.0,7896.0,1,0.435,Auto,No
A00145,588,29912.0,17943.0,7,0.86,Auto,Yes
A00146,767,72635.0,31383.0,2,0.599,Auto,No
A00147,584,47835.0,10335.0,10,0.394,Home improvement,No
A00148,676,82801.0,38983.0,16,0.751,Personal,No
A00149,704,71172.0,37973.0,20,0.808,Personal,Yes
A00150,636,92023.0,33631.0,22,0.583,Auto,No
A00151,625,46299.0,21696.0,2,0.744,Auto,No
A00152,748,31437.0,17321.0,20,0.697,Education,No
A00153,605,34996.0,12103.0,15,0.359,Auto,No
A00154,735,97079.0,45075.0,3,0.579,Personal,No
A00155,581,69919.0,18917.0,18,0.346,Personal,No
A00156,692,83506.0,30746.0,5,0.516,Personal,No
A00157,593,44489.0,11963.0,12,0.503,Personal,Yes
A00158,504,25980.0,9505.0,13,0.548,Home improvement,No
A00159,755,27861.0,13930.0,17,0.576,Auto,No
A00160,715,27791.0,11352.0,9,0.667,Personal,Yes
A00161,715,30548.0,5199.0,19,0.346,Personal,No
A00162,657,39858.0,11957.0,5,0.42,Home improvement,No
A00163,630,52545.0,31384.0,19,0.616,Home improvement,No
A00164,634,32169.0,5436.0,7,0.372,Auto,No
A00165,723,26858.0,9980.0,15,0.595,Home improvement,No
A00166,655,64406.0,31790.0,7,0.779,Auto,Yes
A00167,821,41818.0,5826.0,17,0.342,Education,No
A00168,734,39370.0,4133.0,11,0.336,Home improvement,No
A00169,560,81521.0,12364.0,11,0.442,Personal,No
A00170,676,53393.0,30115.0,14,0.603,Personal,Yes
A00171,514,50870.0,15018.0,4,0.332,Home improvement,No
A00172,552,23942.0,8777.0,1,0.53,Personal,No
A00173,533,49808.0,22091.0,19,0.576,Auto,Yes
A00174,580,20991.0,5480.0,7,0.554,Personal,No
A00175,632,56811.0,21632.0,16,0.606,Home improvement,Yes
A00176,567,39351.0,4787.0,0,0.249,Home improvement,No
A00177,551,56572.0,27065.0,11,0.527,Home improvement,No
A00178,583,28442.0,16133.0,5,0.593,Education,Yes
A00179,601,37848.0,8148.0,11,0.268,Personal,No
A00180,744,37332.0,19933.0,20,0.827,Education,No
A00181,550,75439.0,19080.0,3,0.545,Education,Yes
A00182,574,81738.0,29868.0,18,0.637,Personal,Yes
A00183,597,90570.0,35371.0,23,0.431,Home improvement,No
A00184,444,44575.0,15685.0,4,0.627,Auto,No
A00185,550,71149.0,40737.0,0,0.851,Home improvement,No
A00186,621,30227.0,8952.0,21,0.473,Personal,No
A00187,663,27594.0,4083.0,17,0.364,Education,No
A00188,593,28177.0,14158.0,12,0.728,Personal,No
A00189,605,45256.0,8463.0,9,0.286,Home improvement,Yes
A00190,658,49642.0,17357.0,3,0.394,Auto,No
A00191,644,105233.0,45746.0,3,0.601,Personal,Yes
A00192,631,17985.0,2141.0,2,0.288,Auto,No
A00193,697,49831.0,27137.0,2,0.701,Home improvement,No
A00194,561,54158.0,20486.0,13,0.391,Personal,Yes
A00195,645,41108.0,7156.0,18,0.422,Personal,No
A00196,644,52160.0,19685.0,21,0.653,Home improvement,No
A00197,704,56885.0,8181.0,1,0.257,Home improvement,No
A00198,691,73905.0,27007.0,2,0.481,Auto,No
A00199,772,33282.0,16498.0,2,0.714,Auto,Yes
A00200,572,94570.0,45237.0,6,0.54,Auto,No
A00201,641,33270.0,16416.0,2,0.625,Education,No
A00202,643,37791.0,4737.0,1,0.195,Personal,No
A00203,476,46059.0,13135.0,22,0.421,Education,Yes
A00204,622,57026.0,5848.0,9,0.246,Auto,No
A00205,592,42946.0,17411.0,17,0.576,Personal,No
A00206,610,40175.0,9944.0,5,0.503,Auto,No
A00207,708,27548.0,7355.0,1,0.352,Auto,No
A00208,555,56397.0,29656.0,8,0.764,Home improvement,No
A00209,683,45493.0,23330.0,15,0.686,Personal,No
A00210,791,53025.0,25892.0,9,0.636,Auto,No
A00211,699,30141.0,5558.0,16,0.231,Education,No
A00212,701,75840.0,10967.0,3,0.241,Education,No
A00213,752,114503.0,46961.0,8,0.543,Auto,Yes
A00214,791,98415.0,29941.0,2,0.312,Education,No
A00215,536,52986.0,23695.0,5,0.701,Education,No
A00216,579,47549.0,7785.0,1,0.339,Auto,No
A00217,714,56304.0,14699.0,6,0.392,Personal,No
A00218,626,54672.0,13379.0,5,0.424,Auto,No
A00219,612,48737.0,29017.0,19,0.829,Auto,Yes
A00220,587,77604.0,21673.0,20,0.461,Auto,Yes
A00221,804,37191.0,21692.0,9,0.625,Education,Yes
A00222,706,27163.0,15914.0,20,0.873,Home improvement,Yes
A00223,688,37811.0,21700.0,10,0.87,Personal,Yes
A00224,498,54801.0,19388.0,15,0.456,Personal,Yes
A00225,703,72764.0,24261.0,18,0.385,Education,No
A00226,450,80869.0,30213.0,12,0.383,Home improvement,No
A00227,795,64139.0,38254.0,21,0.787,Home improvement,Yes
A00228,576,61967.0,18524.0,16,0.409,Personal,No
A00229,543,73208.0,12890.0,11,0.319,Education,No
A00230,534,58703.0,32938.0,3,0.599,Auto,Yes
A00231,604,44582.0,11756.0,2,0.431,Auto,No
A00232,660,54350.0,27475.0,7,0.627,Personal,No
A00233,783,20669.0,2252.0,24,0.364,Auto,No
A00234,593,73106.0,35693.0,9,0.757,Home improvement,Yes
A00235,675,79968.0,14703.0,7,0.258,Personal,No
A00236,603,59375.0,7830.0,15,0.359,Education,No
A00237,554,36021.0,19005.0,21,0.589,Auto,No
A00238,635,108529.0,22150.0,13,0.476,Home improvement,Yes
A00239,579,52580.0,25267.0,4,0.612,Personal,Yes
A00240,667,43141.0,5961.0,12,0.369,Auto,No
A00241,729,41492.0,11239.0,1,0.298,Home improvement,No
A00242,553,39802.0,16644.0,24,0.684,Personal,Yes
A00243,614,117547.0,50667.0,5,0.486,Education,No
A00244,523,17956.0,8419.0,23,0.517,Home improvement,Yes
A00245,763,48613.0,25970.0,3,0.554,Auto,No
A00246,584,43764.0,16001.0,22,0.62,Personal,Yes
A00247,804,146268.0,36883.0,4,0.276,Auto,No
A00248,562,37999.0,5588.0,1,0.167,Personal,No
A00249,662,35720.0,6751.0,9,0.426,Home improvement,No
A00250,647,47088.0,26955.0,16,0.797,Education,Yes
A00251,513,27207.0,6094.0,4,0.324,Home improvement,No
A00252,697,23057.0,6514.0,11,0.286,Auto,No
A00253,544,41831.0,6353.0,24,0.283,Personal,No
A00254,571,38956.0,11063.0,16,0.469,Auto,Yes
A00255,722,47485.0,11094.0,22,0.532,Personal,No
A00256,578,36429.0,16785.0,7,0.707,Personal,Yes
A00257,581,50471.0,28096.0,15,0.809,Auto,Yes
A00258,616,84311.0,9350.0,1,0.184,Home improvement,No
A00259,643,61765.0,6909.0,1,0.271,Personal,No
A00260,517,94697.0,26060.0,11,0.457,Education,Yes
A00261,583,60815.0,25346.0,1,0.617,Auto,Yes
A00262,667,41369.0,10898.0,14,0.514,Education,No
A00263,699,22289.0,8256.0,1,0.562,Auto,No
A00264,585,21187.0,10960.0,19,0.586,Education,Yes
A00265,759,44427.0,24226.0,5,0.644,Auto,No
A00266,680,47436.0,12045.0,2,0.46,Home improvement,No
A00267,655,73621.0,20358.0,19,0.463,Education,Yes
A00268,676,17076.0,2690.0,16,0.395,Personal,No
A00269,585,71439.0,39768.0,1,0.759,Home improvement,No
A00270,681,71113.0,19685.0,16,0.466,Home improvement,Yes
A00271,769,26799.0,3492.0,22,0.313,Home improvement,No
A00272,669,39191.0,17615.0,19,0.56,Education,No
A00273,788,47173.0,17719.0,3,0.65,Personal,Yes
A00274,541,72009.0,26082.0,22,0.519,Personal,No
A00275,670,50114.0,15407.0,1,0.601,Home improvement,Yes
A00276,665,21366.0,5240.0,17,0.4,Personal,No
A00277,567,31647.0,8148.0,16,0.259,Personal,No
A00278,651,40392.0,20786.0,21,0.798,Personal,Yes
A00279,628,27472.0,11600.0,20,0.709,Education,No
A00280,642,54549.0,31604.0,7,0.855,Personal,No
A00281,667,51839.0,20300.0,7,0.403,Personal,No
A00282,706,29608.0,13847.0,12,0.637,Auto,No
A00283,650,61120.0,32427.0,18,0.669,Personal,Yes
A00284,698,29238.0,16220.0,16,0.589,Personal,Yes
A00285,751,62915.0,18401.0,2,0.439,Auto,Yes
A00286,710,37083.0,8362.0,15,0.292,Home improvement,No
A00287,600,57524.0,31283.0,10,0.56,Home improvement,No
A00288,589,67193.0,37209.0,16,0.821,Education,Yes
A00289,680,92338.0,9545.0,0,0.163,Personal,Yes
A00290,520,60529.0,10357.0,6,0.187,Home improvement,No
A00291,654,57029.0,17658.0,18,0.528,Education,Yes
A00292,667,72669.0,7503.0,1,0.304,Auto,No
A00293,573,51664.0,8399.0,18,0.183,Auto,No
A00294,676,27139.0,10054.0,19,0.491,Education,No
A00295,683,55810.0,8405.0,0,0.331,Auto,No
A00296,588,63204.0,33042.0,8,0.699,Home improvement,Yes
A00297,665,95035.0,18886.0,4,0.255,Education,No
A00298,576,45545.0,16088.0,16,0.597,Personal,Yes
A00299,578,64271.0,12262.0,14,0.225,Education,Yes
A00300,609,28727.0,7349.0,21,0.553,Personal,Yes
A00301,506,26477.0,13135.0,23,0.54,Education,Yes
A00302,647,17970.0,5455.0,4,0.592,Home improvement,No
A00303,714,29967.0,7200.0,20,0.498,Personal,Yes
A00304,645,48633.0,26352.0,13,0.605,Personal,No
A00305,695,37392.0,12187.0,17,0.433,Home improvement,Yes
A00306,696,61242.0,12478.0,20,0.217,Education,No
A00307,605,55476.0,30991.0,12,0.762,Personal,No
A00308,602,21934.0,5624.0,2,0.416,Personal,No
A00309,509,16051.0,2932.0,8,0.376,Personal,Yes
A00310,786,34708.0,15334.0,18,0.562,Auto,No
A00311,699,52350.0,20352.0,0,0.408,Home improvement,No
A00312,624,30379.0,10963.0,16,0.484,Home improvement,No
A00313,590,110936.0,19036.0,1,0.254,Auto,No
A00314,547,32574.0,12091.0,16,0.613,Auto,Yes
A00315,691,51927.0,26038.0,16,0.54,Personal,No
A00316,653,59780.0,34766.0,1,0.854,Auto,No
A00317,659,47901.0,24175.0,15,0.785,Home improvement,Yes
A00318,575,85042.0,24637.0,10,0.328,Auto,No
A00319,616,38181.0,21700.0,8,0.716,Home improvement,Yes
A00320,627,90306.0,27102.0,22,0.354,Personal,No
A00321,711,82777.0,21121.0,5,0.36,Auto,No
A00322,627,68806.0,25137.0,2,0.456,Home improvement,No
A00323,499,67906.0,13399.0,7,0.258,Education,Yes
A00324,722,36078.0,4910.0,4,0.404,Education,No
A00325,629,34299.0,8482.0,5,0.44,Auto,No
A00326,516,49033.0,16064.0,13,0.374,Personal,No
A00327,698,23630.0,8882.0,6,0.632,Auto,No
A00328,574,50211.0,16699.0,20,0.384,Education,No
A00329,703,42500.0,14848.0,14,0.447,Personal,No
A00330,786,43440.0,20689.0,21,0.669,Home improvement,No
A00331,776,60108.0,6851.0,8,0.291,Personal,No
A00332,588,86783.0,51766.0,9,0.762,Education,Yes
A00333,639,52448.0,27759.0,7,0.738,Auto,No
A00334,640,37317.0,10276.0,2,0.454,Personal,No
A00335,610,58754.0,16355.0,11,0.328,Education,No
A00336,591,54427.0,22995.0,22,0.505,Personal,No
A00337,668,87372.0,27943.0,7,0.402,Personal,No
A00338,628,37347.0,12635.0,13,0.544,Home improvement,No
A00339,749,41880.0,5515.0,21,0.17,Auto,No
A00340,580,19344.0,7116.0,16,0.447,Education,No
A00341,723,39522.0,20157.0,14,0.733,Home improvement,Yes
A00342,796,48132.0,25625.0,13,0.822,Personal,Yes
A00343,477,47536.0,25726.0,15,0.576,Education,Yes
A00344,730,77488.0,38317.0,22,0.574,Auto,No
A00345,689,36795.0,8047.0,10,0.5,Auto,No
A00346,650,43137.0,13130.0,8,0.44,Education,No
A00347,691,27125.0,5089.0,23,0.329,Education,No
A00348,669,37043.0,21605.0,11,0.686,Home improvement,No
A00349,643,80281.0,21652.0,17,0.392,Auto,No
A00350,776,43391.0,10968.0,22,0.513,Auto,No
A00351,613,62734.0,18055.0,19,0.549,Home improvement,Yes
A00352,528,53848.0,31522.0,1,0.875,Home improvement,Yes
A00353,601,28925.0,15248.0,18,0.565,Personal,No
A00354,485,58272.0,6590.0,11,0.142,Education,No
A00355,542,29169.0,7460.0,1,0.551,Personal,Yes
A00356,717,57717.0,19130.0,6,0.372,Personal,No
A00357,850,69033.0,21335.0,3,0.585,Education,No
A00358,663,35114.0,17695.0,2,0.654,Education,No
A00359,646,37775.0,10252.0,22,0.541,Auto,No
A00360,602,45824.0,22103.0,22,0.612,Auto,Yes
A00361,535,57191.0,16232.0,5,0.408,Personal,Yes
A00362,559,96380.0,56368.0,1,0.834,Personal,No
A00363,738,42259.0,11539.0,19,0.297,Personal,Yes
A00364,592,97689.0,17874.0,13,0.336,Home improvement,No
A00365,815,88112.0,27652.0,13,0.481,Education,Yes
A00366,717,33773.0,9767.0,15,0.585,Education,No
A00367,730,108957.0,53832.0,0,0.696,Personal,No
A00368,690,61243.0,30538.0,19,0.538,Education,No
A00369,593,40835.0,17320.0,13,0.454,Personal,No
A00370,497,72360.0,9859.0,16,0.356,Education,No
A00371,691,62905.0,10930.0,9,0.301,Education,No
A00372,633,47254.0,9992.0,4,0.416,Personal,No
A00373,643,46084.0,5361.0,22,0.322,Auto,No
A00374,609,26265.0,12970.0,3,0.554,Education,No
A00375,733,50261.0,27776.0,1,0.57,Auto,Yes
A00376,647,43886.0,22614.0,19,0.593,Auto,Yes
A00377,549,44894.0,18438.0,1,0.561,Education,No
A00378,599,54792.0,12955.0,20,0.491,Auto,Yes
A00379,664,48020.0,6704.0,7,0.306,Home improvement,Yes
A00380,751,71100.0,30089.0,20,0.652,Personal,No
A00381,617,93606.0,53190.0,16,0.636,Personal,No
A00382,709,52985.0,31571.0,22,0.633,Home improvement,No
A00383,621,68205.0,28732.0,24,0.452,Home improvement,Yes
A00384,716,47650.0,17420.0,6,0.498,Auto,No
A00385,675,39288.0,20004.0,9,0.716,Home improvement,No
A00386,641,62036.0,35795.0,12,0.673,Education,No
A00387,650,88836.0,14918.0,12,0.359,Education,No
A00388,679,29168.0,7813.0,10,0.268,Education,No
A00389,692,29609.0,14138.0,4,0.615,Education,No
A00390,561,40824.0,11159.0,10,0.501,Home improvement,Yes
A00391,646,45895.0,17656.0,22,0.463,Auto,No
A00392,823,46840.0,27582.0,2,0.829,Education,Yes
A00393,580,52994.0,23388.0,17,0.7,Education,No
A00394,508,41727.0,12599.0,18,0.598,Education,No
A00395,752,26861.0,6508.0,22,0.345,Personal,No
A00396,709,42497.0,14289.0,9,0.344,Home improvement,No
A00397,664,44096.0,19521.0,7,0.459,Education,No
A00398,606,28518.0,10636.0,15,0.438,Home improvement,No
A00399,767,107801.0,18397.0,2,0.188,Auto,No
A00400,598,31078.0,3614.0,7,0.304,Education,No
A00401,704,58619.0,15476.0,20,0.323,Auto,No
A00402,659,41244.0,19686.0,10,0.497,Personal,Yes
A00403,711,27616.0,11725.0,6,0.513,Education,Yes
A00404,501,28542.0,7530.0,7,0.547,Personal,No
A00405,674,40529.0,10845.0,18,0.307,Personal,Yes
A00406,751,50785.0,24111.0,9,0.677,Education,No
A00407,788,39114.0,18302.0,2,0.731,Education,No
A00408,605,46030.0,22346.0,20,0.765,Auto,No
A00409,565,59080.0,10159.0,11,0.277,Auto,Yes
A00410,586,48569.0,6739.0,8,0.271,Education,Yes
A00411,718,34504.0,10311.0,9,0.544,Personal,No
A00412,464,28894.0,12229.0,4,0.644,Personal,Yes
A00413,630,31329.0,9562.0,6,0.497,Personal,No
A00414,564,30326.0,9892.0,8,0.412,Education,No
A00415,723,30268.0,4047.0,18,0.273,Home improvement,No
A00416,779,33527.0,19787.0,5,0.752,Home improvement,No
A00417,615,19573.0,8430.0,15,0.455,Personal,No
A00418,609,66541.0,12717.0,9,0.411,Personal,No
A00419,639,44114.0,8508.0,3,0.252,Auto,No
A00420,678,51160.0,12957.0,9,0.326,Personal,No
A00421,627,44668.0,13120.0,24,0.585,Auto,No
A00422,499,34222.0,8851.0,8,0.382,Auto,No
A00423,498,78640.0,40306.0,0,0.711,Personal,Yes
A00424,601,67823.0,29280.0,2,0.529,Personal,No
A00425,714,40699.0,18716.0,22,0.755,Home improvement,Yes
A00426,623,46346.0,5370.0,5,0.236,Personal,No
A00427,496,25245.0,2978.0,16,0.377,Home improvement,Yes
A00428,634,61068.0,33980.0,10,0.755,Education,No
A00429,653,53777.0,22841.0,18,0.503,Home improvement,Yes
A00430,643,44726.0,10321.0,22,0.289,Education,No
A00431,761,108297.0,45249.0,5,0.474,Home improvement,No
A00432,610,40749.0,24141.0,2,0.607,Personal,Yes
A00433,745,60662.0,15624.0,12,0.538,Auto,No
A00434,680,69060.0,35646.0,8,0.598,Education,No
A00435,677,27663.0,13301.0,18,0.557,Personal,No
A00436,755,52834.0,22177.0,24,0.443,Home improvement,No
A00437,634,35975.0,14129.0,9,0.395,Home improvement,No
A00438,666,44519.0,19408.0,18,0.68,Home improvement,No
A00439,560,41770.0,11725.0,14,0.551,Auto,No
A00440,609,57455.0,33065.0,0,0.74,Education,Yes
A00441,740,78830.0,9750.0,16,0.135,Education,No
A00442,702,40968.0,12512.0,13,0.602,Personal,Yes
A00443,615,39075.0,4795.0,22,0.196,Home improvement,No
A00444,545,87063.0,38489.0,20,0.727,Home improvement,No
A00445,717,22120.0,4215.0,20,0.306,Personal,No
A00446,694,44752.0,11705.0,20,0.5,Personal,No
A00447,589,45075.0,16389.0,12,0.55,Auto,Yes
A00448,580,77681.0,42899.0,21,0.835,Auto,No
A00449,560,54868.0,32154.0,21,0.723,Home improvement,Yes
A00450,595,63987.0,36565.0,21,0.671,Home improvement,Yes
A00451,720,39940.0,11070.0,23,0.323,Auto,No
A00452,679,60745.0,9300.0,14,0.295,Education,No
A00453,607,22275.0,3534.0,11,0.334,Auto,No
A00454,589,94904.0,36935.0,14,0.393,Home improvement,No
A00455,823,21854.0,5044.0,23,0.238,Auto,No
A00456,504,70981.0,28460.0,12,0.684,Education,Yes
A00457,664,121125.0,64243.0,5,0.547,Personal,Yes
A00458,734,67985.0,12347.0,19,0.211,Home improvement,No
A00459,618,75349.0,20456.0,17,0.295,Education,No
A00460,540,34377.0,20608.0,11,0.607,Auto,Yes
A00461,731,48333.0,17111.0,16,0.46,Personal,Yes
A00462,684,47906.0,24618.0,17,0.655,Personal,No
A00463,553,40798.0,15173.0,7,0.441,Education,No
A00464,527,28559.0,5401.0,20,0.251,Auto,Yes
A00465,566,60064.0,31540.0,18,0.665,Education,Yes
A00466,636,53993.0,20390.0,21,0.403,Personal,No
A00467,639,62780.0,15823.0,10,0.497,Home improvement,No
A00468,595,49191.0,12749.0,19,0.306,Personal,No
A00469,561,56033.0,18037.0,21,0.54,Home improvement,No
A00470,627,53380.0,16342.0,5,0.544,Auto,Yes
A00471,681,81783.0,9866.0,20,0.318,Personal,No
A00472,519,46803.0,16384.0,23,0.399,Personal,No
A00473,617,42407.0,25065.0,19,0.755,Education,No
A00474,720,111184.0,36687.0,14,0.39,Education,No
A00475,584,59554.0,8436.0,8,0.441,Home improvement,No
A00476,579,51340.0,23256.0,4,0.708,Auto,No
A00477,687,51405.0,13045.0,19,0.27,Home improvement,No
A00478,481,28938.0,9057.0,3,0.42,Auto,No
A00479,702,65552.0,13843.0,15,0.284,Home improvement,No
A00480,714,52847.0,25998.0,16,0.746,Education,Yes
A00481,686,27636.0,13402.0,20,0.707,Home improvement,No
