transaction_id,amount,hour_of_day,merchant_category,distance_from_home_km,chip_used,transaction_count_24h,IsFraud
T000123,237.62,6,Gas,697.1,No,1,No
T000124,150.86,5,Online,143.1,Yes,4,No
T000125,149.32,10,Travel,163.2,Yes,0,No
T000126,148.02,6,Travel,255.0,Yes,0,No
T000127,111.54,5,Groceries,493.8,Yes,1,No
T000128,54.63,13,Gas,131.0,Yes,3,No
T000129,26.22,18,Gas,309.4,Yes,5,No
T000130,91.14,3,Gas,7.3,Yes,2,Yes
T000131,62.36,2,Groceries,78.6,Yes,3,Yes
T000132,27.29,23,Electronics,102.2,No,1,No
T000133,317.23,22,Groceries,222.9,No,0,No
T000134,126.54,5,Electronics,15.6,No,2,No
T000135,40.01,11,Travel,119.4,Yes,1,No
T000136,11.31,20,Gas,74.5,Yes,2,No
T000137,23.62,16,Groceries,246.0,No,5,No
T000138,89.0,11,Gas,93.9,Yes,1,No
T000139,42.19,2,Gas,192.7,Yes,3,No
T000140,14.62,9,Electronics,9.9,Yes,3,No
T000141,71.3,17,Groceries,124.5,Yes,3,No
T000142,46.58,2,Groceries,227.4,Yes,4,No
T000143,36.5,11,Groceries,138.2,No,3,No
T000144,15.72,21,Electronics,800.4,Yes,1,No
T000145,76.3,2,Online,167.9,No,3,No
T000146,18.68,12,Travel,124.4,Yes,2,No
T000147,44.14,21,Travel,251.0,Yes,0,Yes
T000148,174.26,1,Gas,1.9,No,1,Yes
T000149,189.52,18,Groceries,224.3,Yes,3,No
T000150,48.03,19,Online,367.4,Yes,2,No
T000151,2.51,11,Groceries,48.8,No,4,No
T000152,116.19,5,Groceries,269.3,Yes,3,No
T000153,21.56,11,Groceries,86.3,No,3,No
T000154,13.55,7,Online,188.5,Yes,1,No
T000155,114.43,18,Online,188.6,Yes,3,No
T000156,8.59,11,Groceries,20.0,Yes,4,No
T000157,111.33,11,Travel,195.3,Yes,1,No
T000158,134.97,14,Groceries,85.3,Yes,3,No
T000159,90.26,0,Online,39.7,Yes,3,No
T000160,67.33,6,Groceries,211.8,Yes,3,No
T000161,48.8,18,Electronics,159.6,No,0,Yes
T000162,33.66,9,Gas,318.6,Yes,3,No
T000163,18.5,12,Electronics,218.9,Yes,1,No
T000164,583.23,8,Electronics,106.5,No,3,No
T000165,35.0,19,Online,16.1,No,2,No
T000166,21.68,16,Gas,7.8,Yes,2,No
T000167,49.74,3,Online,150.4,Yes,3,No
T000168,97.28,16,Gas,72.3,No,2,No
T000169,151.53,14,Online,243.1,No,2,Yes
T000170,43.47,13,Travel,229.7,Yes,2,No
T000171,45.14,10,Online,213.4,No,4,No
T000172,24.5,6,Groceries,223.9,Yes,3,No
T000173,42.26,20,Gas,188.4,Yes,0,No
T000174,129.71,2,Online,320.9,Yes,3,No
T000175,51.31,14,Travel,223.3,Yes,1,No
T000176,37.82,12,Travel,283.2,No,3,No
T000177,64.78,10,Travel,401.2,Yes,2,Yes
T000178,24.99,16,Travel,52.3,Yes,4,No
T000179,6.31,14,Groceries,18.6,Yes,2,No
T000180,33.56,1,Online,359.1,Yes,5,Yes
T000181,2.75,13,Online,173.0,Yes,1,No
T000182,41.91,1,Groceries,39.5,Yes,0,No
T000183,82.4,0,Electronics,300.8,Yes,1,Yes
T000184,146.58,5,Travel,29.3,No,3,No
T000185,92.75,10,Gas,280.7,Yes,0,No
T000186,56.62,16,Travel,53.7,No,2,No
T000187,19.58,19,Online,49.3,No,2,No
T000188,18.2,22,Groceries,57.0,Yes,2,No
T000189,44.26,10,Travel,256.5,Yes,0,No
T000190,22.99,12,Gas,206.2,Yes,1,No
T000191,20.86,14,Groceries,329.7,Yes,3,No
T000192,57.09,4,Travel,307.3,No,0,No
T000193,23.3,17,Groceries,213.0,Yes,0,No
T000194,8.87,17,Online,256.1,Yes,4,No
T000195,43.89,2,Electronics,124.0,Yes,3,No
T000196,21.12,2,Online,183.2,Yes,4,No
T000197,91.61,2,Online,124.4,Yes,0,No
T000198,199.13,20,Gas,213.6,Yes,2,No
T000199,116.75,1,Online,97.9,Yes,2,No
T000200,84.47,23,Gas,54.3,No,2,Yes
T000201,213.93,6,Groceries,107.9,Yes,1,No
T000202,20.47,19,Groceries,117.1,Yes,4,No
T000203,30.68,15,Travel,132.9,Yes,2,No
T000204,65.73,10,Groceries,133.0,No,6,No
T000205,36.76,0,Travel,193.0,Yes,4,Yes
T000206,63.13,7,Travel,149.5,Yes,2,No
T000207,37.41,23,Online,459.0,Yes,1,No
T000208,42.0,7,Gas,107.1,Yes,2,No
T000209,35.61,12,Gas,197.8,Yes,2,No
T000210,114.89,4,Online,114.8,Yes,1,No
T000211,45.32,23,Online,18.1,Yes,1,No
T000212,14.73,6,Groceries,237.0,Yes,0,No
T000213,48.34,7,Groceries,383.3,No,3,No
T000214,29.7,5,Groceries,266.8,Yes,1,No
T000215,231.34,16,Electronics,149.5,No,1,No
T000216,78.44,18,Online,8.2,Yes,2,No
T000217,194.56,5,Groceries,120.9,Yes,3,No
T000218,61.01,19,Electronics,97.8,Yes,1,No
T000219,137.13,4,Travel,229.4,No,2,No
T000220,117.32,21,Online,28.9,No,2,No
T000221,95.4,6,Groceries,239.6,Yes,1,No
T000222,9.59,2,Gas,103.9,Yes,1,No
T000223,66.66,7,Online,168.1,No,0,Yes
T000224,212.89,18,Electronics,43.3,Yes,3,No
T000225,55.34,7,Online,252.3,No,1,No
T000226,175.91,12,Groceries,224.1,Yes,2,No
T000227,33.77,22,Online,147.2,Yes,3,No
T000228,40.17,0,Gas,9.1,Yes,0,No
T000229,108.7,3,Travel,226.1,Yes,4,Yes
T000230,13.28,2,Groceries,232.9,Yes,0,No
T000231,290.77,16,Travel,327.3,Yes,1,No
T000232,41.46,4,Online,591.3,Yes,1,No
T000233,203.04,15,Gas,493.9,No,2,No
T000234,30.03,19,Travel,4.1,No,3,Yes
T000235,115.79,18,Electronics,383.0,Yes,2,No
T000236,36.02,19,Groceries,366.3,No,0,No
T000237,11.72,16,Gas,15.0,Yes,1,No
T000238,35.75,12,Online,68.5,Yes,2,No
T000239,48.74,19,Groceries,145.4,No,5,No
T000240,88.22,1,Online,326.9,Yes,2,No
T000241,24.78,14,Electronics,538.9,Yes,1,Yes
T000242,91.8,18,Electronics,60.3,No,4,No
T000243,42.13,13,Groceries,110.1,Yes,0,No
T000244,7.55,10,Travel,386.1,Yes,4,No
T000245,146.14,22,Gas,162.3,Yes,0,No
T000246,160.45,21,Travel,70.6,No,1,No
T000247,38.2,16,Online,334.9,No,2,No
T000248,45.27,5,Travel,432.0,Yes,3,No
T000249,32.33,1,Electronics,150.2,Yes,1,Yes
T000250,79.87,10,Electronics,21.9,Yes,2,No
T000251,30.27,2,Electronics,95.3,No,3,No
T000252,125.43,21,Groceries,285.0,Yes,1,No
T000253,47.25,16,Gas,24.9,No,3,Yes
T000254,14.91,1,Online,281.1,Yes,0,No
T000255,108.45,3,Gas,92.2,No,2,Yes
T000256,87.41,22,Online,184.7,Yes,1,No
T000257,8.6,22,Electronics,37.6,Yes,3,No
T000258,65.75,23,Travel,21.3,No,2,Yes
T000259,95.69,13,Online,133.6,Yes,2,No
T000260,49.73,10,Gas,13.7,Yes,1,No
T000261,33.8,7,Online,109.2,No,2,No
T000262,186.52,11,Groceries,66.4,No,0,No
T000263,28.18,9,Electronics,34.3,No,2,No
T000264,312.07,0,Gas,386.5,Yes,2,Yes
T000265,26.53,23,Travel,54.6,Yes,1,No
T000266,139.79,21,Online,270.8,Yes,2,No
T000267,331.8,11,Online,104.0,Yes,3,No
T000268,15.14,4,Electronics,66.5,Yes,4,No
T000269,88.04,1,Gas,271.1,No,2,Yes
T000270,26.55,21,Gas,145.1,No,2,No
T000271,121.72,5,Online,26.7,Yes,1,No
T000272,229.48,14,Online,165.9,Yes,2,No
T000273,322.15,0,Travel,112.2,Yes,3,No
T000274,152.42,7,Travel,20.3,Yes,2,No
T000275,39.19,15,Groceries,220.6,Yes,5,No
T000276,112.4,6,Gas,24.0,Yes,3,No
T000277,759.99,5,Gas,139.4,Yes,3,No
T000278,192.55,18,Electronics,131.3,No,3,No
T000279,509.79,22,Online,454.3,No,5,No
T000280,175.11,2,Gas,58.2,Yes,4,No
T000281,16.86,11,Online,3.3,Yes,2,No
T000282,42.35,19,Electronics,134.7,Yes,1,No
T000283,113.48,23,Online,192.9,No,2,No
T000284,21.88,14,Travel,314.9,No,1,No
T000285,111.66,15,Travel,83.1,Yes,0,No
T000286,8.15,22,Online,144.3,No,2,No
T000287,52.08,0,Travel,45.6,Yes,1,Yes
T000288,101.25,11,Groceries,158.4,Yes,3,No
T000289,8.77,5,Online,325.7,No,4,No
T000290,97.67,8,Online,80.1,Yes,2,No
T000291,139.44,23,Online,63.5,Yes,1,No
T000292,143.9,17,Electronics,279.9,Yes,2,No
T000293,10.98,8,Travel,242.0,No,2,No
T000294,13.65,11,Groceries,24.6,No,2,Yes
T000295,178.82,11,Travel,184.0,No,1,No
T000296,179.12,1,Groceries,65.6,Yes,1,No
T000297,19.96,6,Groceries,134.2,Yes,2,No
T000298,15.22,16,Travel,22.8,Yes,0,No
T000299,151.47,21,Gas,163.6,No,3,No
T000300,8.15,12,Gas,134.1,Yes,2,No
T000301,111.92,3,Travel,157.4,No,1,No
T000302,11.08,13,Online,10.0,Yes,0,No
T000303,13.69,22,Electronics,157.7,Yes,2,No
T000304,62.9,7,Groceries,84.3,No,3,No
T000305,111.26,5,Gas,45.9,No,4,No
T000306,114.33,17,Travel,188.0,Yes,1,No
T000307,65.61,1,Online,279.3,Yes,5,No
T000308,23.8,19,Gas,313.5,Yes,2,No
T000309,25.19,17,Online,82.1,Yes,1,No
T000310,71.29,3,Travel,166.0,No,1,No
T000311,111.48,7,Travel,167.9,Yes,2,No
T000312,22.86,16,Groceries,520.6,Yes,4,Yes
T000313,27.89,16,Online,192.9,Yes,1,No
T000314,30.4,13,Online,156.5,No,2,No
T000315,58.23,3,Online,4.8,No,3,No
T000316,21.46,3,Electronics,57.4,No,2,No
T000317,54.18,1,Travel,8.5,Yes,4,Yes
T000318,67.65,3,Electronics,38.0,Yes,1,Yes
T000319,91.57,22,Travel,15.0,Yes,2,No
T000320,86.56,16,Groceries,249.6,Yes,3,No
T000321,15.68,4,Travel,357.8,Yes,1,No
T000322,58.29,16,Gas,173.3,No,0,No
T000323,85.55,19,Online,168.8,Yes,1,No
T000324,27.56,17,Online,18.9,Yes,2,No
T000325,36.99,6,Online,170.2,Yes,2,No
T000326,221.41,9,Groceries,44.3,No,1,Yes
T000327,7.64,5,Electronics,119.3,No,2,No
T000328,478.83,4,Groceries,190.8,Yes,1,No
T000329,185.53,13,Travel,78.0,Yes,0,No
T000330,40.47,11,Electronics,231.6,No,4,No
T000331,279.01,11,Online,252.6,No,2,No
T000332,20.96,13,Groceries,185.4,No,0,No
T000333,92.79,1,Groceries,151.2,Yes,0,No
T000334,13.65,0,Gas,122.6,Yes,3,No
T000335,265.3,12,Electronics,189.9,Yes,6,No
T000336,28.99,11,Electronics,233.1,No,2,No
T000337,130.91,21,Online,254.7,Yes,0,No
T000338,68.15,18,Electronics,202.2,Yes,1,Yes
T000339,38.04,23,Online,335.2,Yes,3,No
T000340,32.11,11,Gas,112.9,No,1,No
T000341,698.39,12,Travel,99.7,Yes,2,No
T000342,28.26,10,Travel,323.1,Yes,3,No
T000343,94.25,6,Online,167.7,No,3,No
T000344,109.51,19,Online,126.2,No,3,No
T000345,175.45,8,Gas,103.9,No,2,No
T000346,168.02,4,Online,243.0,No,3,Yes
T000347,18.41,20,Travel,27.9,Yes,4,No
T000348,55.08,10,Travel,52.7,No,4,No
T000349,109.18,10,Online,26.7,Yes,2,No
T000350,75.86,22,Gas,60.1,Yes,1,No
T000351,27.94,21,Groceries,100.0,Yes,2,No
T000352,34.97,10,Gas,147.3,Yes,2,No
T000353,52.69,22,Travel,99.1,No,2,No
T000354,17.94,9,Gas,431.9,Yes,1,No
T000355,53.61,15,Groceries,58.8,Yes,2,No
T000356,100.4,22,Travel,202.6,Yes,0,No
T000357,95.82,9,Travel,43.9,Yes,2,No
T000358,92.68,4,Electronics,68.8,Yes,4,No
T000359,22.73,16,Travel,57.5,No,1,No
T000360,10.84,20,Electronics,224.3,Yes,1,No
T000361,78.16,11,Electronics,188.1,Yes,3,No
T000362,27.03,3,Online,124.9,Yes,2,No
T000363,81.89,22,Electronics,32.7,Yes,3,No
T000364,268.7,16,Online,190.1,Yes,1,No
T000365,67.25,14,Electronics,172.2,Yes,3,No
T000366,44.22,4,Online,218.8,Yes,1,No
T000367,26.39,14,Gas,164.2,Yes,0,No
T000368,21.46,18,Online,99.3,Yes,4,Yes
T000369,199.78,1,Groceries,118.6,No,2,No
T000370,4.82,21,Online,175.9,Yes,3,No
T000371,45.64,2,Gas,138.3,Yes,1,No
T000372,181.53,20,Groceries,1.2,Yes,3,No
T000373,19.97,4,Groceries,62.5,Yes,3,No
T000374,51.5,22,Groceries,157.9,Yes,7,No
T000375,41.86,20,Electronics,123.9,No,2,No
T000376,97.51,13,Gas,271.4,No,1,No
T000377,233.6,19,Electronics,443.9,Yes,6,No
T000378,35.55,10,Gas,296.0,Yes,1,No
T000379,20.07,11,Gas,19.2,Yes,0,No
T000380,28.69,0,Travel,0.1,No,2,No
T000381,388.49,21,Groceries,313.1,Yes,1,No
T000382,395.46,22,Electronics,204.7,Yes,2,No
T000383,83.82,7,Travel,404.6,No,0,No
T000384,101.57,3,Travel,201.9,Yes,2,No
T000385,29.24,4,Online,72.6,Yes,1,Yes
T000386,151.26,4,Online,156.4,Yes,3,Yes
T000387,42.66,11,Online,48.1,No,3,No
T000388,23.51,22,Groceries,80.0,Yes,3,No
T000389,70.45,6,Travel,170.1,No,3,No
T000390,40.54,12,Travel,426.6,Yes,3,No
T000391,67.96,20,Travel,81.8,Yes,3,No
T000392,53.18,1,Online,119.1,Yes,2,No
T000393,77.88,13,Gas,340.9,Yes,1,No
T000394,62.24,0,Groceries,9.2,Yes,3,No
T000395,357.66,17,Gas,6.5,No,1,No
T000396,115.9,14,Electronics,165.2,Yes,1,No
T000397,39.34,13,Gas,164.9,Yes,2,No
T000398,93.39,15,Electronics,136.2,Yes,4,No
T000399,30.63,13,Gas,86.4,Yes,1,No
T000400,54.51,8,Online,227.1,Yes,3,No
T000401,20.06,3,Online,35.8,Yes,0,No
T000402,19.69,11,Gas,127.3,Yes,0,No
T000403,63.34,22,Online,1.8,Yes,1,No
T000404,13.39,0,Electronics,353.9,No,3,No
T000405,63.05,19,Electronics,64.6,Yes,2,No
T000406,37.48,5,Online,110.2,No,3,No
T000407,57.51,3,Groceries,58.5,Yes,1,No
T000408,112.2,5,Groceries,244.1,No,0,No
T000409,150.12,6,Gas,201.4,No,3,No
T000410,82.64,2,Gas,234.3,Yes,3,No
T000411,23.01,23,Online,293.4,Yes,3,No
T000412,103.76,6,Gas,44.5,No,0,No
T000413,237.75,13,Groceries,414.6,Yes,3,No
T000414,75.3,14,Groceries,30.4,Yes,3,No
T000415,8.34,6,Groceries,132.8,No,1,No
T000416,15.66,0,Online,62.4,No,4,No
T000417,76.59,18,Electronics,112.6,Yes,3,Yes
T000418,40.48,22,Groceries,230.7,Yes,1,No
T000419,539.36,5,Groceries,26.9,No,0,No
T000420,33.79,19,Online,29.0,No,1,No
T000421,43.49,1,Electronics,348.2,Yes,1,No
T000422,95.19,8,Travel,273.2,Yes,2,No
T000423,5.02,20,Gas,113.9,Yes,3,No
T000424,132.56,9,Travel,188.4,Yes,0,No
T000425,42.56,14,Gas,21.6,Yes,4,No
T000426,13.31,21,Groceries,202.1,No,2,No
T000427,36.16,3,Online,26.3,Yes,1,No
T000428,175.78,3,Groceries,97.2,No,3,No
T000429,72.74,10,Electronics,223.5,Yes,4,No
T000430,3.54,3,Electronics,248.9,No,2,No
T000431,85.96,4,Gas,336.8,Yes,4,No
T000432,40.08,20,Gas,126.2,Yes,1,No
T000433,67.65,13,Online,144.9,No,2,No
T000434,15.22,14,Online,52.0,Yes,0,No
T000435,148.36,1,Online,18.1,No,0,No
T000436,146.29,21,Gas,109.8,Yes,2,No
T000437,63.08,16,Electronics,23.4,Yes,2,No
T000438,55.36,6,Electronics,127.0,Yes,4,No
T000439,169.89,12,Travel,462.2,Yes,4,No
T000440,89.12,12,Gas,132.4,Yes,2,No
T000441,42.23,1,Electronics,92.5,Yes,1,No
T000442,45.69,17,Groceries,253.5,No,1,No
T000443,87.76,17,Online,78.6,No,2,No
T000444,345.75,9,Electronics,26.8,Yes,3,No
T000445,34.38,4,Groceries,85.9,Yes,3,No
T000446,35.56,21,Gas,229.0,Yes,2,No
T000447,122.71,16,Gas,17.2,Yes,4,No
T000448,32.45,19,Gas,377.9,No,2,No
T000449,21.75,11,Gas,169.3,Yes,2,No
T000450,19.15,5,Electronics,147.9,Yes,7,Yes
T000451,234.39,13,Gas,91.1,Yes,1,No
T000452,23.35,3,Online,300.1,Yes,1,No
T000453,43.56,4,Travel,69.3,Yes,1,Yes
T000454,12.39,4,Gas,20.7,No,2,No
T000455,50.69,5,Groceries,276.1,Yes,2,No
T000456,36.65,1,Online,174.3,Yes,2,No
T000457,46.17,1,Groceries,73.1,No,4,No
T000458,35.87,21,Travel,72.6,No,2,No
T000459,56.72,12,Online,54.2,No,4,No
T000460,45.66,9,Groceries,162.2,Yes,2,No
T000461,44.59,7,Travel,508.1,Yes,0,No
T000462,27.31,12,Gas,288.3,No,3,No
T000463,27.88,5,Electronics,241.4,Yes,3,No
T000464,128.29,5,Gas,147.1,No,3,No
T000465,48.22,18,Groceries,221.4,No,1,No
T000466,179.99,19,Electronics,19.1,No,2,No
T000467,35.79,15,Gas,188.5,Yes,1,No
T000468,31.12,20,Travel,87.5,Yes,1,No
T000469,158.19,3,Electronics,118.2,Yes,3,No
T000470,47.39,10,Online,84.9,Yes,1,No
T000471,40.89,5,Travel,180.6,Yes,3,No
T000472,38.62,7,Gas,136.9,Yes,6,No
T000473,221.44,22,Gas,121.9,No,0,No
T000474,57.79,18,Online,12.7,Yes,1,No
T000475,104.83,14,Electronics,212.8,Yes,2,No
T000476,163.94,3,Groceries,56.3,No,3,No
T000477,84.58,9,Travel,153.1,Yes,1,No
T000478,19.1,18,Gas,175.7,No,4,Yes
T000479,80.27,17,Groceries,139.0,Yes,1,No
T000480,201.62,21,Electronics,149.5,Yes,0,No
T000481,131.61,16,Online,90.2,No,3,No
T000482,69.25,18,Online,44.2,Yes,3,No
T000483,32.99,7,Electronics,144.3,Yes,2,No
T000484,137.77,14,Online,79.8,No,2,No
T000485,8.73,17,Electronics,90.9,No,1,No
T000486,162.88,19,Gas,249.5,Yes,2,No
T000487,197.03,5,Online,65.4,Yes,0,No
T000488,23.11,18,Travel,5.2,Yes,3,No
T000489,60.88,5,Electronics,24.5,Yes,1,No
T000490,9.27,18,Groceries,145.3,Yes,0,No
T000491,52.03,11,Gas,59.1,Yes,2,No
T000492,30.22,7,Online,24.9,Yes,3,No
T000493,14.73,10,Gas,359.6,Yes,4,No
T000494,71.45,5,Groceries,36.4,Yes,2,No
T000495,284.05,2,Electronics,7.4,Yes,3,No
T000496,142.53,5,Online,22.3,Yes,1,No
T000497,36.57,2,Electronics,167.4,No,3,No
T000498,237.57,9,Electronics,103.0,Yes,4,No
T000499,139.23,20,Travel,54.6,Yes,2,No
T000500,424.96,15,Groceries,152.6,No,0,No
T000501,41.87,1,Groceries,87.3,No,4,No
T000502,144.42,3,Travel,194.0,Yes,1,No
T000503,374.0,0,Travel,357.4,Yes,1,No
T000504,8.29,17,Travel,306.1,No,2,No
T000505,117.63,18,Groceries,123.2,Yes,2,No
T000506,18.7,7,Online,170.5,No,1,No
T000507,29.52,22,Travel,24.4,Yes,1,No
T000508,59.48,13,Electronics,103.7,No,3,No
T000509,77.32,5,Travel,177.5,Yes,4,No
T000510,310.95,21,Online,190.1,No,4,No
T000511,67.28,14,Electronics,507.2,Yes,1,Yes
T000512,55.38,16,Groceries,181.9,Yes,4,No
T000513,28.97,22,Gas,270.1,Yes,2,No
T000514,19.08,11,Electronics,66.3,Yes,2,No
T000515,17.37,15,Electronics,189.9,No,2,No
T000516,129.81,2,Online,91.7,No,2,No
T000517,23.23,14,Travel,52.1,No,4,No
T000518,280.35,17,Groceries,236.8,Yes,2,No
T000519,104.61,11,Online,53.7,Yes,3,No
T000520,199.8,3,Online,254.4,Yes,0,No
T000521,46.52,6,Groceries,60.2,No,2,No
T000522,249.76,8,Travel,233.9,Yes,4,No
T000523,39.17,23,Online,105.4,No,1,No
T000524,55.28,10,Gas,52.0,No,5,No
T000525,12.91,2,Travel,328.3,Yes,1,No
T000526,13.92,23,Gas,100.2,Yes,2,No
T000527,29.2,23,Online,41.4,Yes,1,No
T000528,84.61,3,Travel,68.0,Yes,3,No
T000529,79.96,18,Online,101.1,Yes,0,No
T000530,118.12,8,Travel,255.0,Yes,2,No
T000531,71.69,16,Groceries,104.2,Yes,1,No
T000532,10.81,23,Travel,94.2,No,1,No
T000533,32.13,18,Travel,216.0,Yes,1,No
T000534,35.16,19,Gas,135.9,No,2,No
T000535,87.54,17,Travel,63.9,Yes,2,No
T000536,123.76,9,Electronics,199.7,No,2,No
T000537,26.34,7,Gas,425.7,Yes,4,No
T000538,12.39,23,Electronics,82.1,Yes,0,No
T000539,86.58,13,Gas,256.3,Yes,0,No
T000540,216.29,20,Groceries,49.7,Yes,0,No
