lead_id,company_size,industry,page_views_30d,demo_attended,email_opens_30d,sales_calls,days_in_pipeline,Converted
L00076,11-50,Tech,13,No,4,3,68,Yes
L00077,1-10,Manufacturing,15,Yes,3,3,71,No
L00078,11-50,Finance,7,No,7,1,64,No
L00079,11-50,Healthcare,8,No,3,1,13,No
L00080,11-50,Finance,4,No,6,2,31,Yes
L00081,1-10,Healthcare,11,No,5,3,7,No
L00082,11-50,Tech,13,No,6,1,24,No
L00083,11-50,Manufacturing,12,No,6,1,89,No
L00084,51-200,Tech,9,Yes,5,0,17,Yes
L00085,51-200,Tech,15,Yes,6,1,33,Yes
L00086,11-50,Finance,14,No,4,1,5,No
L00087,11-50,Healthcare,15,No,4,1,83,No
L00088,51-200,Healthcare,12,Yes,3,2,31,Yes
L00089,51-200,Retail,15,No,7,1,9,No
L00090,51-200,Finance,13,No,5,3,75,No
L00091,51-200,Healthcare,10,No,7,3,50,No
L00092,201-1000,Manufacturing,7,No,8,2,10,No
L00093,1-10,Tech,9,No,3,3,76,No
L00094,51-200,Healthcare,11,No,5,1,74,Yes
L00095,1-10,Retail,19,No,9,3,89,No
L00096,11-50,Manufacturing,13,No,1,1,83,Yes
L00097,51-200,Retail,11,Yes,5,0,69,No
L00098,51-200,Healthcare,6,No,2,2,41,No
L00099,1-10,Healthcare,12,No,6,1,8,No
L00100,51-200,Tech,10,No,5,2,52,No
L00101,1-10,Finance,16,Yes,7,3,11,Yes
L00102,11-50,Tech,12,No,6,2,70,No
L00103,51-200,Retail,8,Yes,5,2,41,Yes
L00104,11-50,Retail,12,No,7,3,30,Yes
L00105,11-50,Tech,8,No,6,3,75,Yes
L00106,51-200,Healthcare,12,Yes,5,2,71,No
L00107,51-200,Retail,11,No,3,2,49,No
L00108,51-200,Healthcare,16,No,9,2,8,Yes
L00109,1-10,Manufacturing,13,No,9,1,81,No
L00110,11-50,Retail,12,Yes,4,2,23,No
L00111,11-50,Manufacturing,16,Yes,3,2,4,Yes
L00112,1-10,Healthcare,13,No,4,1,82,No
L00113,11-50,Finance,11,Yes,3,5,85,Yes
L00114,11-50,Retail,12,No,7,3,34,Yes
L00115,51-200,Retail,16,No,7,0,59,No
L00116,201-1000,Manufacturing,15,No,4,2,5,No
L00117,1-10,Manufacturing,10,No,3,0,52,No
L00118,1-10,Tech,10,Yes,8,1,18,Yes
L00119,51-200,Tech,9,No,3,1,42,No
L00120,1-10,Healthcare,7,No,5,3,37,No
L00121,1-10,Retail,8,No,8,3,55,No
L00122,11-50,Healthcare,8,No,6,2,22,No
L00123,1-10,Tech,9,Yes,6,0,39,Yes
L00124,51-200,Manufacturing,11,No,7,2,27,No
L00125,51-200,Finance,16,No,10,6,37,Yes
L00126,1-10,Healthcare,15,No,4,2,73,No
L00127,11-50,Retail,8,Yes,4,1,63,Yes
L00128,51-200,Finance,11,No,5,0,59,No
L00129,201-1000,Healthcare,9,No,6,3,5,No
L00130,1-10,Healthcare,12,No,5,3,22,No
L00131,1-10,Manufacturing,8,No,2,0,79,No
L00132,51-200,Manufacturing,14,No,1,0,39,Yes
L00133,201-1000,Retail,14,No,7,2,53,Yes
L00134,1-10,Healthcare,18,No,7,1,52,No
L00135,11-50,Retail,10,No,5,1,18,No
L00136,51-200,Manufacturing,10,No,5,1,59,No
L00137,51-200,Manufacturing,16,Yes,6,2,15,Yes
L00138,1-10,Manufacturing,12,No,5,6,41,No
L00139,51-200,Retail,6,No,5,0,2,No
L00140,51-200,Tech,16,Yes,8,1,51,Yes
L00141,11-50,Finance,17,Yes,6,3,12,Yes
L00142,1-10,Finance,18,No,2,1,30,No
L00143,1-10,Tech,11,No,3,3,11,No
L00144,1-10,Finance,7,No,6,4,29,No
L00145,51-200,Healthcare,6,Yes,8,1,47,Yes
L00146,1-10,Retail,7,Yes,6,1,51,Yes
L00147,1-10,Healthcare,8,No,4,4,27,No
L00148,11-50,Finance,12,No,7,2,35,No
L00149,1-10,Manufacturing,15,Yes,9,1,47,Yes
L00150,1-10,Finance,17,No,4,2,70,No
L00151,1-10,Healthcare,12,No,3,2,75,No
L00152,11-50,Manufacturing,13,Yes,7,0,11,Yes
L00153,51-200,Retail,15,Yes,4,1,70,No
L00154,11-50,Healthcare,12,No,5,4,67,No
L00155,1-10,Healthcare,8,Yes,3,2,65,No
L00156,11-50,Retail,6,Yes,4,1,80,Yes
L00157,11-50,Finance,18,Yes,3,1,65,Yes
L00158,201-1000,Retail,14,No,4,0,51,No
L00159,201-1000,Finance,4,Yes,8,3,81,Yes
L00160,1-10,Manufacturing,15,Yes,4,6,81,Yes
L00161,1-10,Tech,8,No,2,1,40,No
L00162,51-200,Tech,13,Yes,4,1,88,Yes
L00163,201-1000,Finance,12,No,6,2,47,Yes
L00164,11-50,Retail,11,Yes,4,1,50,No
L00165,51-200,Tech,8,No,5,3,43,Yes
L00166,51-200,Manufacturing,7,No,4,0,34,No
L00167,11-50,Retail,12,No,4,0,82,Yes
L00168,51-200,Healthcare,10,No,8,3,59,No
L00169,1-10,Finance,11,No,6,2,54,No
L00170,1-10,Manufacturing,17,No,4,2,43,No
L00171,1-10,Tech,20,No,6,3,18,No
L00172,1-10,Healthcare,20,No,4,2,44,No
L00173,201-1000,Manufacturing,18,Yes,10,1,25,No
L00174,1-10,Retail,16,Yes,6,4,48,Yes
L00175,51-200,Manufacturing,9,Yes,4,2,34,Yes
L00176,1-10,Healthcare,14,No,4,6,83,No
L00177,11-50,Retail,12,Yes,9,3,45,Yes
L00178,11-50,Retail,15,No,1,2,66,No
L00179,1-10,Tech,16,No,5,4,25,No
L00180,11-50,Retail,10,No,2,2,17,No
L00181,11-50,Healthcare,12,No,7,2,20,No
L00182,11-50,Healthcare,8,No,5,1,81,No
L00183,51-200,Healthcare,11,Yes,4,1,32,Yes
L00184,1-10,Retail,8,Yes,4,2,26,No
L00185,1-10,Finance,15,No,6,3,31,No
L00186,11-50,Healthcare,14,Yes,4,1,38,No
L00187,11-50,Manufacturing,9,Yes,12,0,10,Yes
L00188,1-10,Healthcare,15,Yes,4,3,35,Yes
L00189,201-1000,Retail,13,No,6,3,79,No
L00190,51-200,Retail,15,Yes,6,2,19,Yes
L00191,1-10,Retail,9,Yes,8,1,44,Yes
L00192,11-50,Retail,8,Yes,7,4,74,Yes
L00193,1-10,Manufacturing,11,Yes,4,1,9,No
L00194,11-50,Healthcare,11,No,5,2,70,No
L00195,1-10,Finance,21,Yes,4,5,57,Yes
L00196,11-50,Tech,13,No,1,1,75,No
L00197,201-1000,Tech,6,No,12,1,58,No
L00198,11-50,Tech,11,No,5,0,62,No
L00199,51-200,Manufacturing,12,No,1,4,63,No
L00200,11-50,Manufacturing,14,Yes,6,4,26,Yes
L00201,51-200,Retail,19,Yes,6,3,84,Yes
L00202,1-10,Finance,11,No,9,4,44,No
L00203,51-200,Finance,13,No,3,4,74,No
L00204,201-1000,Healthcare,16,No,7,2,68,No
L00205,11-50,Tech,13,No,3,3,82,No
L00206,1-10,Tech,10,Yes,6,4,51,Yes
L00207,51-200,Manufacturing,17,Yes,5,0,41,Yes
L00208,51-200,Healthcare,13,No,6,1,33,No
L00209,51-200,Tech,22,Yes,5,1,23,Yes
L00210,1-10,Healthcare,14,No,1,1,13,No
L00211,201-1000,Healthcare,12,No,4,1,32,No
L00212,201-1000,Finance,11,No,3,1,53,No
L00213,11-50,Tech,10,No,3,3,85,No
L00214,11-50,Tech,14,No,4,0,27,No
L00215,1-10,Manufacturing,19,No,2,1,47,Yes
L00216,201-1000,Finance,12,No,7,1,11,No
L00217,51-200,Tech,13,No,8,2,75,No
L00218,11-50,Finance,11,Yes,8,1,28,Yes
L00219,51-200,Finance,15,No,4,1,75,No
L00220,1-10,Retail,10,Yes,5,1,82,No
L00221,11-50,Manufacturing,10,No,5,2,12,No
L00222,1-10,Healthcare,11,No,8,1,56,No
L00223,11-50,Manufacturing,5,Yes,3,2,76,No
L00224,1-10,Healthcare,14,Yes,7,0,36,Yes
L00225,51-200,Healthcare,13,No,4,2,14,No
L00226,11-50,Tech,12,Yes,3,0,19,Yes
L00227,11-50,Finance,6,Yes,4,3,50,Yes
L00228,1-10,Finance,18,Yes,0,1,63,Yes
L00229,51-200,Finance,17,No,6,1,32,No
L00230,51-200,Tech,12,No,6,0,48,No
L00231,11-50,Tech,19,No,8,0,17,No
L00232,1-10,Retail,10,Yes,6,1,86,No
L00233,51-200,Manufacturing,14,No,1,2,68,No
L00234,1-10,Manufacturing,14,No,4,0,69,No
L00235,51-200,Healthcare,17,Yes,5,0,75,Yes
L00236,11-50,Finance,10,Yes,4,1,63,Yes
L00237,1-10,Finance,14,No,9,1,19,No
L00238,11-50,Healthcare,12,No,6,2,1,Yes
L00239,11-50,Healthcare,11,No,5,2,47,No
L00240,1-10,Manufacturing,12,No,3,1,48,No
L00241,51-200,Healthcare,11,Yes,1,1,36,No
L00242,11-50,Healthcare,11,No,5,3,89,No
L00243,51-200,Healthcare,11,No,3,2,26,No
L00244,51-200,Healthcare,18,No,7,4,2,No
L00245,1-10,Finance,8,No,5,3,4,No
L00246,11-50,Tech,15,Yes,6,1,3,Yes
L00247,11-50,Manufacturing,7,No,8,2,74,Yes
L00248,51-200,Retail,7,Yes,10,0,29,Yes
L00249,11-50,Healthcare,12,Yes,8,1,57,Yes
L00250,11-50,Tech,9,No,8,2,6,No
L00251,51-200,Manufacturing,15,Yes,9,1,13,No
L00252,1-10,Manufacturing,7,No,3,3,79,No
L00253,11-50,Finance,16,No,6,5,5,Yes
L00254,11-50,Manufacturing,11,No,6,2,80,Yes
L00255,1-10,Healthcare,11,No,5,4,50,No
L00256,51-200,Retail,11,No,5,4,86,Yes
L00257,11-50,Healthcare,9,No,2,0,71,No
L00258,51-200,Healthcare,19,No,3,2,56,No
L00259,11-50,Healthcare,8,Yes,4,3,85,Yes
L00260,11-50,Manufacturing,18,No,5,1,19,No
L00261,201-1000,Healthcare,12,No,4,1,85,No
L00262,1-10,Retail,8,No,4,0,13,Yes
L00263,1-10,Finance,11,No,9,4,86,Yes
L00264,51-200,Retail,11,Yes,3,2,37,Yes
L00265,11-50,Finance,18,Yes,4,0,58,Yes
L00266,11-50,Retail,14,No,3,4,66,No
L00267,51-200,Retail,11,No,5,4,42,No
L00268,11-50,Manufacturing,13,No,5,2,8,No
L00269,51-200,Manufacturing,10,No,2,2,29,No
L00270,11-50,Finance,16,Yes,5,0,11,Yes
L00271,11-50,Finance,10,No,3,0,42,No
L00272,1-10,Retail,18,No,4,2,1,No
L00273,1-10,Finance,14,Yes,6,2,63,Yes
L00274,201-1000,Healthcare,16,No,1,2,9,Yes
L00275,11-50,Healthcare,16,No,7,2,86,No
L00276,1-10,Manufacturing,10,Yes,8,3,83,No
L00277,1-10,Manufacturing,15,No,5,1,37,No
L00278,51-200,Finance,9,No,2,1,61,No
L00279,1-10,Manufacturing,9,No,5,1,67,No
L00280,51-200,Finance,16,No,4,2,5,Yes
L00281,1-10,Retail,20,No,4,1,80,No
L00282,201-1000,Tech,11,Yes,4,1,3,No
L00283,11-50,Retail,10,Yes,4,0,56,Yes
L00284,1-10,Tech,15,No,5,1,10,No
L00285,201-1000,Tech,6,Yes,3,1,68,No
L00286,11-50,Manufacturing,11,No,2,1,81,No
L00287,51-200,Healthcare,13,No,6,2,46,No
L00288,11-50,Finance,14,No,4,3,86,No
L00289,1-10,Manufacturing,16,Yes,7,2,13,Yes
L00290,1-10,Retail,9,Yes,6,1,22,Yes
L00291,1-10,Healthcare,10,Yes,4,2,32,No
L00292,1-10,Healthcare,14,Yes,7,2,82,Yes
L00293,1-10,Finance,17,No,5,7,69,No
L00294,1-10,Healthcare,18,No,10,1,8,No
L00295,201-1000,Healthcare,14,Yes,9,1,73,Yes
L00296,1-10,Tech,10,Yes,1,1,3,Yes
L00297,11-50,Tech,10,No,5,1,16,No
L00298,1-10,Manufacturing,11,Yes,8,0,33,No
L00299,1-10,Manufacturing,11,Yes,5,1,52,Yes
L00300,51-200,Retail,14,No,4,1,34,No
L00301,201-1000,Healthcare,8,No,4,3,53,Yes
L00302,11-50,Manufacturing,12,No,5,0,53,No
L00303,1-10,Retail,14,No,3,2,70,No
L00304,201-1000,Healthcare,10,No,9,1,13,No
L00305,1-10,Tech,15,No,6,2,58,No
L00306,11-50,Tech,14,No,3,0,25,No
L00307,11-50,Retail,11,No,7,3,58,Yes
L00308,51-200,Tech,10,Yes,8,1,46,No
L00309,51-200,Tech,7,Yes,4,3,11,Yes
L00310,11-50,Tech,11,No,4,2,74,No
L00311,11-50,Retail,11,No,8,3,73,Yes
L00312,51-200,Tech,8,No,3,3,56,No
L00313,51-200,Finance,11,No,4,1,52,No
L00314,51-200,Manufacturing,13,Yes,7,3,43,Yes
L00315,51-200,Tech,12,No,6,2,40,No
L00316,1-10,Finance,20,No,6,3,85,Yes
L00317,1-10,Retail,17,No,5,3,78,Yes
L00318,11-50,Manufacturing,10,No,2,0,45,No
L00319,11-50,Finance,10,No,2,4,62,No
L00320,51-200,Manufacturing,11,No,5,0,55,No
L00321,1-10,Retail,12,No,5,2,42,No
L00322,51-200,Tech,11,Yes,3,2,76,Yes
L00323,11-50,Tech,12,No,3,2,9,Yes
L00324,51-200,Manufacturing,5,No,8,0,17,Yes
L00325,1-10,Retail,14,No,6,1,71,No
L00326,11-50,Healthcare,6,Yes,4,3,26,Yes
L00327,1-10,Tech,13,No,7,4,87,Yes
L00328,1-10,Retail,9,No,8,3,68,Yes
L00329,201-1000,Retail,12,No,0,0,22,No
L00330,11-50,Healthcare,9,No,6,4,3,Yes
L00331,51-200,Finance,12,Yes,3,1,38,Yes
L00332,11-50,Manufacturing,17,No,6,2,23,Yes
L00333,1-10,Finance,10,No,6,1,3,Yes
L00334,51-200,Tech,10,Yes,5,1,85,No
L00335,1-10,Retail,12,No,4,3,34,Yes
L00336,51-200,Retail,10,No,5,1,68,No
L00337,1-10,Retail,17,Yes,8,5,39,Yes
L00338,51-200,Manufacturing,9,No,4,1,24,No
L00339,1-10,Tech,12,Yes,2,3,15,Yes
L00340,11-50,Retail,14,No,4,1,34,No
L00341,201-1000,Manufacturing,11,Yes,4,2,49,No
L00342,11-50,Finance,12,No,3,0,80,Yes
L00343,51-200,Manufacturing,8,Yes,9,3,74,Yes
L00344,51-200,Tech,9,No,4,1,53,No
L00345,1-10,Retail,10,Yes,2,2,82,Yes
L00346,51-200,Tech,9,Yes,3,2,44,Yes
L00347,201-1000,Finance,9,Yes,6,2,15,Yes
L00348,1-10,Finance,7,No,8,3,38,No
L00349,11-50,Tech,3,Yes,5,3,39,Yes
L00350,1-10,Healthcare,11,No,4,1,62,Yes
L00351,51-200,Tech,12,No,4,3,59,No
L00352,1-10,Manufacturing,7,No,2,2,25,Yes
L00353,11-50,Healthcare,15,No,3,0,72,No
L00354,51-200,Healthcare,13,No,5,6,72,No
L00355,51-200,Manufacturing,10,No,5,1,10,No
L00356,1-10,Healthcare,10,Yes,5,2,30,No
L00357,51-200,Retail,13,No,2,1,33,No
L00358,1-10,Manufacturing,9,No,7,2,15,Yes
L00359,51-200,Finance,19,No,4,2,41,No
L00360,11-50,Tech,16,No,5,4,38,Yes
L00361,1-10,Retail,10,No,5,0,51,No
L00362,51-200,Finance,9,Yes,4,5,24,Yes
L00363,51-200,Healthcare,14,Yes,3,3,47,No
L00364,51-200,Retail,8,No,4,5,52,Yes
L00365,201-1000,Retail,11,No,8,3,38,No
L00366,1-10,Manufacturing,12,No,6,1,56,No
L00367,1-10,Finance,15,No,6,1,80,No
L00368,1-10,Finance,14,No,5,1,87,No
L00369,11-50,Retail,7,Yes,7,3,12,Yes
L00370,11-50,Finance,9,No,6,3,88,No
L00371,11-50,Finance,16,No,6,2,14,No
L00372,11-50,Retail,14,Yes,3,4,52,No
L00373,1-10,Retail,10,Yes,7,1,16,No
L00374,1-10,Retail,17,No,7,3,13,Yes
L00375,11-50,Manufacturing,15,Yes,1,1,15,Yes
L00376,1-10,Manufacturing,16,No,5,0,50,No
L00377,11-50,Finance,8,Yes,3,3,87,No
L00378,201-1000,Manufacturing,12,Yes,9,1,73,Yes
L00379,1-10,Manufacturing,11,Yes,2,2,12,Yes
L00380,11-50,Retail,20,No,4,2,44,No
L00381,11-50,Healthcare,9,Yes,4,2,88,Yes
L00382,1-10,Manufacturing,10,No,3,2,34,No
L00383,11-50,Manufacturing,11,No,6,3,1,No
L00384,201-1000,Healthcare,10,No,5,3,71,No
L00385,11-50,Retail,16,No,5,2,1,No
L00386,51-200,Retail,13,No,2,4,41,Yes
L00387,51-200,Retail,10,No,4,2,49,No
L00388,11-50,Tech,11,Yes,7,0,2,Yes
L00389,201-1000,Tech,11,No,5,0,8,No
L00390,11-50,Manufacturing,12,Yes,5,0,57,No
L00391,11-50,Manufacturing,12,No,7,1,79,No
L00392,51-200,Healthcare,6,Yes,8,3,42,Yes
L00393,11-50,Finance,17,Yes,8,0,87,No
L00394,51-200,Healthcare,13,No,3,0,61,No
L00395,1-10,Finance,13,Yes,3,1,23,Yes
L00396,201-1000,Retail,15,No,1,3,28,No
L00397,11-50,Manufacturing,13,No,4,1,23,No
L00398,1-10,Manufacturing,9,Yes,3,1,34,Yes
L00399,11-50,Retail,6,No,9,0,86,No
L00400,51-200,Finance,8,No,5,4,87,No
L00401,51-200,Healthcare,18,No,3,0,28,No
L00402,11-50,Manufacturing,10,Yes,4,1,36,No
L00403,11-50,Healthcare,15,No,5,1,80,No
L00404,11-50,Retail,12,Yes,5,0,52,No
L00405,201-1000,Tech,10,No,4,2,22,No
L00406,1-10,Finance,17,No,4,2,57,Yes
L00407,51-200,Retail,4,No,4,1,36,No
L00408,51-200,Healthcare,10,No,6,1,82,No
L00409,1-10,Manufacturing,10,Yes,10,1,24,Yes
L00410,11-50,Healthcare,14,Yes,5,3,41,No
L00411,11-50,Retail,14,No,0,1,50,No
L00412,51-200,Tech,16,Yes,2,3,65,Yes
L00413,201-1000,Tech,19,No,4,4,82,No
L00414,201-1000,Manufacturing,13,No,5,2,31,No
L00415,1-10,Manufacturing,17,No,6,1,23,No
L00416,1-10,Retail,15,Yes,4,1,55,No
L00417,11-50,Manufacturing,7,No,6,1,23,No
L00418,11-50,Tech,13,Yes,5,2,78,Yes
L00419,51-200,Retail,11,No,4,3,26,Yes
L00420,1-10,Manufacturing,7,Yes,7,1,45,No
L00421,11-50,Finance,10,No,3,1,74,No
L00422,201-1000,Tech,7,No,7,4,30,Yes
L00423,201-1000,Finance,12,No,3,2,16,No
L00424,201-1000,Healthcare,13,No,9,0,44,No
L00425,201-1000,Healthcare,15,No,4,1,15,Yes
L00426,201-1000,Retail,23,No,5,2,77,No
L00427,1-10,Tech,17,Yes,5,0,30,No
L00428,201-1000,Retail,13,Yes,7,3,1,Yes
L00429,1-10,Manufacturing,11,No,5,4,41,Yes
L00430,11-50,Tech,10,No,3,5,66,No
L00431,11-50,Manufacturing,11,No,4,5,86,Yes
L00432,201-1000,Healthcare,16,No,5,3,53,Yes
L00433,11-50,Finance,12,No,1,5,22,No
L00434,11-50,Retail,11,No,6,3,83,Yes
L00435,11-50,Tech,12,No,6,2,53,No
L00436,201-1000,Retail,16,No,4,3,33,No
L00437,51-200,Tech,4,Yes,2,7,82,No
L00438,1-10,Tech,17,Yes,6,1,57,Yes
L00439,1-10,Manufacturing,9,No,4,2,2,Yes
L00440,11-50,Finance,21,No,9,0,24,No
L00441,1-10,Retail,12,No,7,2,12,Yes
L00442,11-50,Finance,14,No,8,2,15,No
L00443,1-10,Retail,12,No,6,3,28,No
L00444,11-50,Tech,15,No,4,3,11,No
L00445,201-1000,Finance,12,Yes,4,0,77,No
L00446,51-200,Tech,15,No,4,4,61,No
L00447,1-10,Retail,5,Yes,5,2,13,No
L00448,1-10,Tech,11,No,7,1,34,No
L00449,11-50,Tech,14,No,5,4,64,No
L00450,11-50,Retail,12,No,5,4,1,No
L00451,11-50,Retail,10,No,8,0,46,Yes
L00452,1-10,Finance,12,No,1,2,88,No
L00453,11-50,Tech,14,No,5,4,58,No
L00454,1-10,Manufacturing,12,No,9,1,13,Yes
L00455,51-200,Manufacturing,18,No,2,6,49,No
L00456,51-200,Healthcare,12,Yes,6,2,77,Yes
L00457,11-50,Healthcare,8,No,4,3,21,No
L00458,51-200,Tech,17,No,4,1,84,No
L00459,11-50,Healthcare,17,No,4,2,21,No
L00460,11-50,Finance,12,No,6,3,54,Yes
L00461,11-50,Tech,10,Yes,2,2,72,No
L00462,11-50,Tech,14,No,3,3,76,No
L00463,201-1000,Tech,19,No,11,2,53,Yes
L00464,51-200,Finance,15,No,2,2,48,No
L00465,51-200,Retail,11,No,2,0,19,No
L00466,1-10,Healthcare,7,No,8,4,31,Yes
L00467,11-50,Manufacturing,15,No,7,4,34,Yes
L00468,11-50,Tech,10,No,2,1,32,No
L00469,1-10,Finance,12,Yes,7,0,65,Yes
L00470,11-50,Finance,11,No,3,2,75,No
L00471,1-10,Healthcare,13,No,5,1,52,No
L00472,1-10,Tech,15,No,10,1,60,No
L00473,51-200,Retail,11,Yes,8,4,81,Yes
L00474,51-200,Healthcare,10,No,4,2,15,No
L00475,51-200,Manufacturing,15,No,7,4,41,No
L00476,1-10,Manufacturing,13,Yes,7,1,84,Yes
L00477,1-10,Healthcare,10,No,4,2,73,No
L00478,1-10,Tech,14,Yes,6,2,75,Yes
L00479,1-10,Manufacturing,15,Yes,7,2,63,Yes
L00480,1-10,Retail,9,Yes,7,0,45,Yes
L00481,201-1000,Manufacturing,14,No,6,3,64,No
L00482,51-200,Retail,17,Yes,3,1,19,Yes
L00483,1-10,Retail,9,No,9,2,70,No
L00484,1-10,Retail,13,No,1,4,32,No
L00485,201-1000,Finance,16,Yes,7,1,61,Yes
L00486,11-50,Finance,6,No,2,1,64,No
L00487,11-50,Tech,11,No,2,2,11,No
L00488,11-50,Healthcare,9,No,7,2,76,No
L00489,1-10,Retail,14,No,7,1,64,Yes
L00490,11-50,Tech,9,No,6,3,54,No
L00491,51-200,Manufacturing,15,No,9,5,51,No
L00492,11-50,Tech,8,Yes,3,3,17,Yes
L00493,51-200,Tech,14,No,7,1,36,No
L00494,1-10,Finance,18,No,4,0,26,No
L00495,11-50,Healthcare,10,No,4,3,25,Yes
L00496,201-1000,Finance,16,Yes,3,4,62,Yes
L00497,1-10,Retail,13,Yes,6,2,21,Yes
L00498,11-50,Finance,12,No,4,1,3,No
L00499,11-50,Finance,8,Yes,5,2,16,Yes
L00500,11-50,Healthcare,17,Yes,3,1,59,Yes
L00501,201-1000,Healthcare,12,Yes,6,2,60,Yes
L00502,11-50,Retail,16,No,3,2,61,Yes
L00503,11-50,Finance,9,Yes,2,6,76,Yes
L00504,201-1000,Retail,12,No,5,0,38,No
L00505,1-10,Manufacturing,11,No,4,1,37,Yes
L00506,51-200,Finance,9,No,4,2,73,No
L00507,1-10,Retail,10,No,5,3,15,Yes
L00508,11-50,Tech,10,No,3,5,69,No
L00509,11-50,Healthcare,9,No,7,4,61,No
L00510,11-50,Finance,10,Yes,1,1,26,Yes
L00511,1-10,Healthcare,10,No,4,1,50,No
L00512,11-50,Healthcare,10,No,9,2,36,Yes
L00513,11-50,Finance,14,No,2,3,60,No
L00514,201-1000,Healthcare,10,No,2,1,67,No
L00515,201-1000,Healthcare,12,No,3,2,37,Yes
L00516,11-50,Manufacturing,10,No,4,1,24,No
L00517,201-1000,Finance,17,No,4,3,43,Yes
L00518,51-200,Retail,16,No,5,2,28,Yes
L00519,11-50,Manufacturing,9,No,5,2,35,No
L00520,1-10,Healthcare,13,Yes,5,0,28,No
L00521,11-50,Tech,12,Yes,2,2,78,No
L00522,11-50,Healthcare,14,No,9,1,77,No
L00523,1-10,Finance,12,No,10,1,10,No
