customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,tech_support,payment_method,senior_citizen,Churn
C00045,47,61.12,3102.85,Month-to-month,Fiber optic,No,Bank transfer,0,No
C00046,30,62.75,2077.43,One year,DSL,No,Electronic check,0,No
C00047,1,53.03,44.67,Month-to-month,Fiber optic,Yes,Electronic check,0,Yes
C00048,29,76.42,2221.62,One year,DSL,Yes,Credit card,0,No
C00049,18,105.06,2129.07,One year,No,No,Bank transfer,1,No
C00050,2,40.15,94.31,Month-to-month,DSL,No,Mailed check,0,Yes
C00051,14,113.44,1596.75,Two year,DSL,No,Bank transfer,1,No
C00052,15,88.91,1573.86,One year,DSL,No,Mailed check,0,No
C00053,4,102.33,415.16,Two year,No,No,Credit card,1,Yes
C00054,69,75.62,4996.94,Two year,Fiber optic,No,Mailed check,0,No
C00055,45,97.95,5021.67,One year,No,No,Credit card,0,No
C00056,26,21.62,560.54,Two year,Fiber optic,No,Bank transfer,0,No
C00057,14,101.84,1409.74,Month-to-month,DSL,No,Bank transfer,0,Yes
C00058,12,24.01,287.0,Month-to-month,DSL,No,Mailed check,0,No
C00059,25,108.99,3102.71,Month-to-month,Fiber optic,No,Bank transfer,0,Yes
C00060,18,119.2,2430.49,Month-to-month,Fiber optic,Yes,Mailed check,0,Yes
C00061,1,49.41,47.5,Month-to-month,Fiber optic,Yes,Bank transfer,0,Yes
C00062,17,41.03,651.0,Month-to-month,DSL,Yes,Electronic check,0,Yes
C00063,39,96.54,3752.9,Two year,No,No,Mailed check,0,Yes
C00064,14,45.3,652.66,Month-to-month,DSL,Yes,Credit card,1,Yes
C00065,1,106.56,95.41,Month-to-month,No,Yes,Electronic check,0,Yes
C00066,37,30.28,1252.09,One year,DSL,No,Credit card,0,No
C00067,5,32.6,162.12,Month-to-month,Fiber optic,No,Bank transfer,0,Yes
C00068,7,117.92,770.65,Two year,DSL,No,Electronic check,0,Yes
C00069,4,87.38,294.55,Month-to-month,Fiber optic,No,Bank transfer,1,Yes
C00070,9,104.69,843.78,Two year,Fiber optic,No,Mailed check,0,No
C00071,33,52.43,2041.13,One year,Fiber optic,No,Credit card,0,No
C00072,17,87.65,1373.89,Month-to-month,Fiber optic,No,Bank transfer,1,Yes
C00073,5,79.42,344.5,Month-to-month,Fiber optic,No,Credit card,0,Yes
C00074,50,80.32,3952.82,Two year,Fiber optic,Yes,Credit card,0,Yes
C00075,50,88.25,4072.01,One year,No,No,Bank transfer,1,No
C00076,49,77.54,3093.0,One year,DSL,Yes,Mailed check,0,No
C00077,6,62.91,350.76,One year,Fiber optic,Yes,Credit card,0,Yes
C00078,14,47.59,678.02,Month-to-month,Fiber optic,No,Bank transfer,0,Yes
C00079,72,96.86,7118.18,Month-to-month,Fiber optic,Yes,Mailed check,0,Yes
C00080,35,42.63,1406.44,Month-to-month,Fiber optic,No,Bank transfer,1,Yes
C00081,0,89.24,0.0,Two year,DSL,No,Mailed check,0,No
C00082,1,43.33,51.4,One year,DSL,No,Credit card,0,Yes
C00083,14,82.53,1098.73,Month-to-month,DSL,No,Electronic check,0,Yes
C00084,57,94.71,4876.39,Month-to-month,DSL,No,Bank transfer,0,Yes
C00085,18,41.87,676.32,Month-to-month,Fiber optic,Yes,Credit card,0,Yes
C00086,16,25.99,408.81,Month-to-month,Fiber optic,No,Bank transfer,0,Yes
C00087,2,33.1,73.07,One year,No,No,Bank transfer,0,No
C00088,25,80.6,1778.03,One year,Fiber optic,No,Mailed check,1,Yes
C00089,41,104.94,4662.74,Two year,DSL,No,Bank transfer,0,No
C00090,11,24.5,217.88,One year,No,Yes,Mailed check,0,Yes
C00091,35,93.42,3163.67,Month-to-month,No,Yes,Credit card,0,Yes
C00092,72,54.13,4327.42,One year,Fiber optic,Yes,Bank transfer,0,No
C00093,5,67.85,317.37,One year,Fiber optic,Yes,Credit card,0,No
C00094,17,112.89,1968.06,One year,No,No,Electronic check,0,Yes
C00095,8,53.2,375.38,One year,Fiber optic,No,Credit card,1,No
C00096,37,66.53,2699.89,One year,No,Yes,Bank transfer,1,No
C00097,20,21.37,350.86,One year,DSL,No,Electronic check,0,Yes
C00098,24,28.16,771.14,Month-to-month,DSL,No,Mailed check,0,No
C00099,38,45.86,1532.3,Month-to-month,Fiber optic,Yes,Electronic check,0,No
C00100,12,22.79,314.44,Month-to-month,Fiber optic,Yes,Bank transfer,0,Yes
C00101,59,83.14,4615.91,Month-to-month,No,No,Bank transfer,0,Yes
C00102,18,62.64,1227.95,One year,No,No,Credit card,0,Yes
C00103,4,74.81,277.6,Month-to-month,Fiber optic,No,Mailed check,0,Yes
C00104,28,37.46,1219.18,One year,DSL,Yes,Bank transfer,0,No
C00105,37,49.59,1560.81,Two year,No,No,Bank transfer,0,No
C00106,9,86.38,677.45,Month-to-month,Fiber optic,Yes,Mailed check,0,No
C00107,46,116.53,5345.44,Month-to-month,DSL,Yes,Mailed check,0,Yes
C00108,56,25.04,1167.75,One year,Fiber optic,No,Credit card,1,No
C00109,7,109.04,670.46,Month-to-month,Fiber optic,Yes,Electronic check,1,Yes
C00110,72,77.69,6586.59,Month-to-month,No,Yes,Mailed check,0,Yes
C00111,3,76.39,272.85,Month-to-month,Fiber optic,Yes,Bank transfer,0,No
C00112,5,70.03,332.82,Month-to-month,DSL,Yes,Mailed check,0,No
C00113,4,26.94,126.01,Two year,No,No,Bank transfer,0,No
C00114,53,28.99,1564.02,Two year,Fiber optic,No,Credit card,0,Yes
C00115,25,80.09,1817.84,One year,Fiber optic,Yes,Electronic check,0,Yes
C00116,3,54.1,175.44,Two year,DSL,Yes,Credit card,0,No
C00117,13,111.73,1544.81,Two year,Fiber optic,Yes,Mailed check,0,No
C00118,22,60.66,1595.62,Month-to-month,DSL,No,Bank transfer,0,No
C00119,2,34.33,62.21,Two year,DSL,Yes,Mailed check,1,Yes
C00120,51,91.47,4986.03,One year,Fiber optic,No,Mailed check,0,No
C00121,39,49.34,1579.45,Two year,DSL,Yes,Mailed check,0,No
C00122,16,72.55,981.41,Two year,Fiber optic,Yes,Mailed check,0,Yes
C00123,72,89.78,5181.46,Month-to-month,DSL,No,Electronic check,0,Yes
C00124,12,110.03,1584.15,Month-to-month,Fiber optic,No,Bank transfer,0,Yes
C00125,72,99.22,8007.6,Month-to-month,DSL,Yes,Mailed check,0,Yes
C00126,26,87.64,2539.98,Month-to-month,DSL,No,Bank transfer,0,Yes
C00127,24,87.96,2119.25,Two year,DSL,No,Electronic check,0,No
C00128,4,114.59,421.7,Two year,No,No,Bank transfer,0,Yes
C00129,51,49.58,2175.86,Month-to-month,No,No,Bank transfer,0,No
C00130,13,20.11,238.91,One year,DSL,No,Electronic check,0,Yes
C00131,4,47.2,179.43,Month-to-month,No,No,Mailed check,0,Yes
C00132,0,41.79,0.0,Month-to-month,Fiber optic,Yes,Bank transfer,0,No
C00133,19,86.18,1663.4,Month-to-month,No,No,Credit card,0,No
C00134,17,83.37,1177.76,Month-to-month,Fiber optic,No,Bank transfer,0,Yes
C00135,30,79.35,1921.57,Two year,Fiber optic,Yes,Mailed check,0,No
C00136,53,21.62,963.59,Month-to-month,DSL,Yes,Credit card,1,Yes
C00137,1,92.88,89.55,One year,Fiber optic,Yes,Mailed check,1,Yes
C00138,31,52.35,1904.05,One year,No,No,Bank transfer,0,No
C00139,4,86.51,365.06,Month-to-month,Fiber optic,No,Electronic check,1,Yes
C00140,46,75.66,3900.55,Two year,DSL,No,Mailed check,0,No
C00141,41,54.27,2195.14,Two year,DSL,Yes,Mailed check,1,No
C00142,18,33.46,568.95,Month-to-month,Fiber optic,No,Electronic check,0,No
C00143,29,29.44,720.03,One year,Fiber optic,No,Bank transfer,0,No
C00144,9,103.15,1067.95,Month-to-month,Fiber optic,Yes,Mailed check,0,Yes
C00145,15,111.84,1867.61,Month-to-month,No,No,Bank transfer,0,No
C00146,41,84.98,3021.65,Month-to-month,DSL,No,Bank transfer,0,No
C00147,14,30.34,426.84,One year,DSL,No,Bank transfer,1,No
C00148,10,60.2,598.96,One year,No,No,Electronic check,0,No
C00149,16,92.89,1560.61,Month-to-month,DSL,No,Bank transfer,0,No
C00150,42,97.98,4849.61,Month-to-month,DSL,Yes,Bank transfer,0,Yes
C00151,9,31.82,295.52,Two year,Fiber optic,No,Credit card,0,No
C00152,4,20.0,81.29,Month-to-month,No,Yes,Credit card,0,No
C00153,29,91.21,2169.32,Month-to-month,DSL,Yes,Credit card,0,No
C00154,41,55.66,1883.07,One year,No,Yes,Mailed check,0,No
C00155,2,45.45,79.53,Two year,No,No,Mailed check,0,No
C00156,6,21.29,103.85,Month-to-month,DSL,No,Credit card,0,Yes
C00157,3,74.03,243.71,One year,Fiber optic,Yes,Electronic check,0,Yes
C00158,10,105.12,1145.11,One year,Fiber optic,Yes,Electronic check,0,Yes
C00159,14,115.76,1384.71,Month-to-month,Fiber optic,No,Credit card,1,Yes
C00160,33,76.57,2866.49,One year,No,No,Mailed check,0,Yes
C00161,25,71.45,1539.59,Month-to-month,No,No,Mailed check,0,Yes
C00162,23,28.51,603.58,One year,DSL,No,Electronic check,0,No
C00163,10,74.89,673.7,One year,Fiber optic,No,Bank transfer,0,Yes
C00164,44,58.0,2421.65,One year,Fiber optic,Yes,Electronic check,0,No
C00165,15,80.71,1091.84,Month-to-month,Fiber optic,No,Bank transfer,0,Yes
C00166,72,58.87,4219.91,Two year,Fiber optic,Yes,Mailed check,0,Yes
C00167,24,44.03,1017.58,Month-to-month,DSL,No,Mailed check,0,Yes
C00168,3,29.5,105.72,Month-to-month,Fiber optic,Yes,Credit card,0,Yes
C00169,27,51.49,1143.28,Month-to-month,Fiber optic,No,Mailed check,0,Yes
C00170,9,29.66,228.73,One year,DSL,No,Bank transfer,0,No
C00171,27,37.69,835.61,One year,No,No,Electronic check,0,Yes
C00172,1,118.73,124.71,Month-to-month,No,Yes,Credit card,0,Yes
C00173,4,64.41,211.73,One year,Fiber optic,No,Bank transfer,0,No
C00174,46,73.19,3819.82,Month-to-month,DSL,Yes,Electronic check,0,Yes
C00175,6,107.36,647.24,One year,Fiber optic,Yes,Electronic check,0,No
C00176,43,119.56,5196.62,Month-to-month,DSL,Yes,Electronic check,0,No
C00177,7,78.27,561.39,One year,DSL,No,Mailed check,0,Yes
C00178,24,101.25,2110.03,Month-to-month,Fiber optic,No,Electronic check,0,Yes
C00179,28,52.69,1296.92,Two year,DSL,No,Mailed check,0,No
C00180,17,50.57,797.39,Month-to-month,DSL,No,Electronic check,0,Yes
C00181,8,60.27,500.19,Month-to-month,DSL,No,Electronic check,0,Yes
C00182,5,87.25,385.67,Month-to-month,DSL,No,Mailed check,0,Yes
C00183,0,88.22,0.0,Two year,DSL,Yes,Mailed check,0,No
C00184,8,51.52,489.67,Two year,No,Yes,Bank transfer,0,No
C00185,25,33.32,673.72,Month-to-month,DSL,No,Electronic check,0,Yes
C00186,66,83.24,6159.03,One year,DSL,No,Mailed check,0,No
C00187,49,32.83,1794.01,Two year,DSL,No,Bank transfer,0,No
C00188,34,77.85,2432.2,One year,No,No,Bank transfer,1,No
C00189,37,89.34,2823.79,One year,Fiber optic,Yes,Mailed check,1,Yes
C00190,26,90.06,2009.65,Month-to-month,Fiber optic,Yes,Electronic check,1,Yes
C00191,7,95.35,720.16,Month-to-month,No,No,Bank transfer,0,No
C00192,57,107.29,6464.87,Two year,Fiber optic,Yes,Electronic check,0,Yes
C00193,26,70.0,2025.84,Two year,DSL,Yes,Electronic check,0,No
C00194,19,93.02,2076.66,One year,DSL,No,Bank transfer,0,Yes
C00195,2,81.92,176.42,Month-to-month,Fiber optic,Yes,Mailed check,0,Yes
C00196,14,38.66,466.73,Month-to-month,DSL,No,Electronic check,0,Yes
C00197,14,22.57,283.55,One year,Fiber optic,No,Credit card,1,No
C00198,47,48.45,2588.84,Two year,DSL,No,Mailed check,0,No
C00199,18,64.3,1022.82,Two year,Fiber optic,Yes,Bank transfer,0,Yes
C00200,11,81.71,745.12,One year,DSL,Yes,Credit card,0,No
C00201,72,105.0,8174.72,One year,DSL,No,Electronic check,0,No
C00202,2,39.62,76.15,Month-to-month,Fiber optic,Yes,Mailed check,0,Yes
C00203,13,32.55,494.25,Month-to-month,No,Yes,Credit card,0,No
C00204,1,116.35,123.34,Two year,Fiber optic,Yes,Mailed check,0,Yes
C00205,32,30.8,824.13,One year,Fiber optic,Yes,Electronic check,0,No
C00206,60,67.85,4800.29,Month-to-month,DSL,Yes,Mailed check,1,No
C00207,7,78.56,496.81,Month-to-month,DSL,No,Credit card,0,Yes
C00208,46,74.14,3188.37,One year,DSL,Yes,Mailed check,0,No
C00209,8,28.6,219.85,Month-to-month,DSL,Yes,Bank transfer,0,Yes
C00210,57,25.7,1201.94,Month-to-month,DSL,No,Bank transfer,1,Yes
C00211,33,30.55,1006.74,One year,DSL,No,Credit card,0,No
C00212,39,78.56,2602.2,One year,No,Yes,Mailed check,0,No
C00213,0,74.43,0.0,One year,DSL,Yes,Credit card,0,No
C00214,72,43.37,2936.17,Month-to-month,Fiber optic,No,Mailed check,1,Yes
C00215,31,83.78,2880.63,One year,Fiber optic,No,Electronic check,0,Yes
C00216,8,102.01,915.04,Month-to-month,Fiber optic,No,Bank transfer,0,Yes
C00217,42,24.16,874.04,Month-to-month,Fiber optic,No,Electronic check,0,No
C00218,7,69.81,462.59,One year,DSL,Yes,Mailed check,0,Yes
C00219,49,88.93,4136.82,One year,DSL,No,Electronic check,0,Yes
C00220,2,45.23,77.85,Two year,Fiber optic,Yes,Credit card,0,Yes
C00221,29,50.78,1648.42,One year,No,No,Credit card,0,No
C00222,18,81.36,1585.87,One year,DSL,No,Mailed check,1,No
C00223,2,109.79,192.39,Month-to-month,DSL,No,Bank transfer,0,No
C00224,6,100.99,573.64,Month-to-month,No,Yes,Credit card,1,No
C00225,0,78.31,0.0,Month-to-month,DSL,Yes,Bank transfer,0,Yes
C00226,15,93.02,1466.85,Month-to-month,Fiber optic,No,Mailed check,0,Yes
C00227,8,56.48,383.41,Two year,Fiber optic,No,Bank transfer,0,Yes
C00228,21,84.1,2109.38,Month-to-month,DSL,No,Mailed check,0,Yes
C00229,8,66.62,592.8,Two year,Fiber optic,Yes,Electronic check,0,No
C00230,8,38.99,298.23,One year,Fiber optic,Yes,Mailed check,0,No
C00231,32,90.17,2976.12,One year,DSL,No,Electronic check,0,Yes
C00232,1,75.65,88.1,One year,Fiber optic,Yes,Mailed check,0,No
C00233,55,55.86,3138.78,One year,No,No,Credit card,0,No
C00234,45,111.13,4349.74,One year,Fiber optic,No,Credit card,0,No
C00235,26,22.09,546.47,Month-to-month,DSL,No,Bank transfer,0,Yes
C00236,21,51.58,1231.86,One year,Fiber optic,No,Mailed check,1,No
C00237,53,25.69,1440.11,Month-to-month,Fiber optic,No,Mailed check,0,Yes
C00238,4,96.65,409.91,Month-to-month,No,Yes,Mailed check,0,Yes
C00239,1,90.21,103.45,One year,Fiber optic,No,Bank transfer,1,Yes
C00240,6,53.14,369.09,Month-to-month,DSL,Yes,Credit card,1,Yes
C00241,37,87.57,3784.16,Two year,Fiber optic,No,Mailed check,0,No
C00242,0,59.59,0.0,Two year,Fiber optic,Yes,Bank transfer,0,No
C00243,20,95.63,1946.36,Two year,DSL,No,Mailed check,0,No
C00244,72,65.42,5163.38,Month-to-month,Fiber optic,Yes,Electronic check,0,No
C00245,46,61.23,3106.04,Month-to-month,DSL,Yes,Mailed check,0,Yes
C00246,17,113.47,2011.33,Two year,Fiber optic,No,Electronic check,0,Yes
C00247,1,45.09,39.08,Month-to-month,DSL,Yes,Bank transfer,0,No
C00248,42,32.04,1505.77,Two year,Fiber optic,No,Bank transfer,0,Yes
C00249,21,78.45,1792.5,Two year,No,No,Credit card,0,No
C00250,2,116.93,195.15,Two year,No,Yes,Mailed check,0,Yes
C00251,2,57.78,113.89,Month-to-month,No,No,Bank transfer,0,Yes
C00252,57,26.2,1298.65,Month-to-month,No,Yes,Credit card,0,No
C00253,26,53.93,1311.03,Two year,DSL,Yes,Mailed check,0,No
C00254,42,70.59,2393.27,Month-to-month,Fiber optic,No,Bank transfer,0,No
C00255,50,36.19,1737.36,Month-to-month,Fiber optic,No,Electronic check,0,Yes
C00256,20,85.81,1750.44,One year,No,Yes,Bank transfer,0,No
C00257,17,119.77,2133.48,Two year,DSL,No,Electronic check,0,No
C00258,13,65.17,902.61,One year,No,No,Credit card,0,Yes
C00259,9,55.47,566.38,One year,Fiber optic,No,Credit card,0,No
C00260,13,60.07,692.03,Month-to-month,No,Yes,Mailed check,0,No
C00261,35,31.51,935.43,One year,DSL,No,Mailed check,0,No
C00262,22,108.33,2718.38,Two year,DSL,No,Mailed check,0,No
C00263,53,61.48,2810.88,Month-to-month,No,No,Credit card,0,No
C00264,14,58.73,978.36,One year,DSL,No,Electronic check,0,No
C00265,22,85.97,2150.48,Two year,No,No,Mailed check,0,No
C00266,23,64.2,1477.12,One year,DSL,Yes,Mailed check,1,No
C00267,21,84.82,2124.23,One year,Fiber optic,No,Credit card,0,Yes
C00268,29,26.14,635.97,One year,Fiber optic,Yes,Electronic check,0,No
C00269,6,101.37,560.31,Month-to-month,Fiber optic,Yes,Bank transfer,1,Yes
C00270,17,114.05,2046.05,Month-to-month,Fiber optic,No,Mailed check,1,Yes
C00271,2,84.88,159.57,Two year,DSL,Yes,Bank transfer,0,Yes
C00272,11,115.46,1487.68,Two year,DSL,No,Bank transfer,0,No
C00273,16,35.14,464.55,Two year,DSL,No,Mailed check,0,No
C00274,25,67.74,1726.97,Two year,Fiber optic,Yes,Credit card,0,No
C00275,72,80.18,5982.79,One year,Fiber optic,No,Mailed check,0,Yes
C00276,22,78.17,1824.8,One year,Fiber optic,No,Electronic check,0,Yes
C00277,32,60.15,1736.68,One year,Fiber optic,No,Electronic check,0,Yes
C00278,16,53.81,814.32,One year,Fiber optic,No,Mailed check,0,No
C00279,24,32.68,892.14,One year,Fiber optic,Yes,Bank transfer,0,No
C00280,1,59.17,51.95,One year,DSL,No,Electronic check,1,No
C00281,7,36.27,287.09,Two year,DSL,No,Electronic check,0,No
C00282,10,93.44,957.82,Month-to-month,No,Yes,Mailed check,0,No
C00283,15,40.88,677.51,Month-to-month,No,No,Mailed check,0,No
C00284,1,25.86,28.07,Month-to-month,DSL,No,Credit card,0,Yes
C00285,3,75.24,199.31,One year,Fiber optic,Yes,Mailed check,0,No
C00286,7,79.52,571.96,Month-to-month,No,Yes,Mailed check,1,No
C00287,72,107.19,8852.87,One year,Fiber optic,No,Electronic check,1,No
C00288,9,77.7,680.31,One year,DSL,Yes,Electronic check,0,No
C00289,15,54.55,970.97,Month-to-month,DSL,No,Electronic check,0,No
C00290,5,100.3,491.91,One year,Fiber optic,Yes,Bank transfer,0,No
C00291,22,74.03,1395.95,Month-to-month,No,No,Electronic check,0,Yes
C00292,7,27.93,186.86,Month-to-month,Fiber optic,Yes,Electronic check,0,No
C00293,5,76.59,452.14,Two year,DSL,Yes,Mailed check,0,No
C00294,17,110.8,1747.77,Month-to-month,DSL,No,Credit card,0,No
C00295,0,59.63,0.0,Month-to-month,No,No,Electronic check,0,Yes
C00296,0,49.63,0.0,One year,No,No,Credit card,0,No
C00297,5,34.35,161.46,One year,Fiber optic,No,Electronic check,1,No
C00298,0,35.14,0.0,Month-to-month,Fiber optic,Yes,Electronic check,0,Yes
C00299,2,63.28,137.93,One year,DSL,Yes,Credit card,0,No
C00300,9,79.57,662.14,Month-to-month,No,No,Mailed check,0,Yes
C00301,38,28.06,1186.95,Month-to-month,No,No,Electronic check,0,No
C00302,20,113.96,2226.92,One year,DSL,No,Credit card,0,No
C00303,17,95.51,1614.1,One year,Fiber optic,Yes,Electronic check,0,Yes
C00304,8,78.66,699.23,One year,DSL,No,Bank transfer,0,Yes
C00305,64,102.84,6272.06,One year,DSL,Yes,Bank transfer,0,No
C00306,12,28.02,328.59,Two year,DSL,No,Bank transfer,0,Yes
C00307,2,67.68,128.66,One year,DSL,No,Bank transfer,0,No
C00308,23,83.01,1807.92,Month-to-month,DSL,Yes,Mailed check,1,No
C00309,2,102.87,207.88,One year,Fiber optic,No,Bank transfer,1,No
C00310,10,98.35,1104.98,Month-to-month,Fiber optic,Yes,Credit card,0,Yes
C00311,16,47.71,721.15,Month-to-month,Fiber optic,No,Electronic check,0,No
C00312,49,114.09,5644.65,Month-to-month,DSL,Yes,Credit card,0,No
C00313,16,32.43,554.31,Month-to-month,DSL,No,Bank transfer,0,Yes
C00314,29,107.51,2830.25,Two year,Fiber optic,Yes,Mailed check,0,Yes
C00315,72,117.09,7680.24,Two year,Fiber optic,No,Bank transfer,0,Yes
C00316,3,37.72,132.78,One year,DSL,No,Bank transfer,0,No
C00317,7,92.21,703.18,Month-to-month,No,No,Mailed check,0,Yes
C00318,12,24.03,297.26,Month-to-month,Fiber optic,Yes,Mailed check,0,Yes
C00319,13,60.54,833.52,Month-to-month,No,No,Mailed check,1,No
C00320,12,71.63,697.72,Month-to-month,Fiber optic,Yes,Mailed check,0,No
C00321,57,78.06,4659.62,One year,DSL,No,Mailed check,0,No
C00322,30,113.59,3420.66,One year,Fiber optic,Yes,Mailed check,0,No
C00323,22,87.23,1954.18,One year,DSL,No,Electronic check,0,Yes
C00324,8,68.13,514.39,Month-to-month,Fiber optic,Yes,Bank transfer,0,No
C00325,41,100.97,3446.73,Two year,DSL,Yes,Bank transfer,0,Yes
C00326,72,115.05,7267.5,One year,No,Yes,Mailed check,0,No
C00327,41,22.21,1074.79,One year,DSL,No,Credit card,0,No
C00328,0,118.25,0.0,One year,No,Yes,Mailed check,0,Yes
C00329,24,28.61,677.49,Month-to-month,No,No,Electronic check,0,No
C00330,1,101.44,83.29,Month-to-month,Fiber optic,No,Credit card,1,Yes
C00331,7,48.03,274.02,Month-to-month,Fiber optic,No,Electronic check,0,Yes
C00332,1,33.22,36.11,One year,Fiber optic,No,Credit card,0,No
C00333,22,63.99,1429.23,Month-to-month,No,Yes,Credit card,0,No
C00334,27,84.4,2286.74,Month-to-month,Fiber optic,No,Mailed check,1,No
C00335,2,58.1,104.26,Month-to-month,No,Yes,Electronic check,0,Yes
C00336,11,25.46,307.48,Month-to-month,Fiber optic,No,Credit card,0,No
C00337,14,79.95,970.76,Two year,No,Yes,Electronic check,1,Yes
C00338,11,110.24,1062.24,One year,Fiber optic,No,Mailed check,0,Yes
C00339,3,58.32,172.21,One year,Fiber optic,Yes,Mailed check,0,No
C00340,13,41.63,494.92,Month-to-month,No,No,Mailed check,0,Yes
C00341,33,64.26,1906.37,One year,No,Yes,Mailed check,0,No
C00342,1,24.84,26.28,One year,Fiber optic,No,Bank transfer,0,Yes
C00343,2,102.05,216.43,Month-to-month,DSL,Yes,Credit card,0,Yes
C00344,10,102.63,1159.52,Month-to-month,Fiber optic,No,Bank transfer,0,Yes
C00345,68,78.8,5182.02,Month-to-month,No,No,Mailed check,0,No
C00346,26,55.31,1192.49,One year,No,No,Credit card,0,No
C00347,27,99.98,2455.07,One year,No,No,Credit card,0,No
C00348,10,75.47,899.6,Month-to-month,DSL,No,Electronic check,0,Yes
C00349,21,102.59,2237.34,Month-to-month,Fiber optic,No,Mailed check,0,Yes
C00350,0,83.15,0.0,One year,Fiber optic,No,Bank transfer,0,Yes
C00351,24,98.44,1897.0,One year,No,No,Electronic check,1,Yes
C00352,58,79.86,4665.61,Two year,DSL,No,Credit card,0,No
C00353,22,61.41,1101.1,One year,No,Yes,Bank transfer,1,No
C00354,49,115.79,5830.83,Month-to-month,Fiber optic,No,Mailed check,0,No
C00355,30,74.11,2597.5,Month-to-month,DSL,No,Bank transfer,0,Yes
C00356,3,80.51,286.78,One year,DSL,Yes,Bank transfer,0,No
C00357,55,42.05,2350.27,Month-to-month,DSL,No,Bank transfer,0,No
C00358,1,82.57,81.19,One year,Fiber optic,Yes,Electronic check,1,No
C00359,18,77.16,1636.11,Two year,DSL,Yes,Credit card,1,No
C00360,3,38.48,123.46,One year,DSL,No,Bank transfer,0,Yes
C00361,0,25.96,0.0,Month-to-month,No,No,Credit card,0,No
C00362,13,80.44,1031.38,One year,DSL,No,Electronic check,0,Yes
C00363,8,96.37,690.86,One year,DSL,No,Mailed check,0,Yes
C00364,15,72.34,1071.99,One year,Fiber optic,No,Mailed check,0,Yes
